phase,param,opt,min,max,model,pm
TO,to_v_lof,89.6,74.5,104.8,norm,89.6|10.5
TO,to_d_tof,2.04,1.27,2.82,norm,2.04|0.47
TO,to_acc_tof,1.69,1.27,2.10,norm,1.69|0.25
IC,ic_va_avg,87,73,100,beta,5|5|54|63
IC,ic_vh_avg,12.16,8.33,16.01,norm,12.17|2.34
CL,cl_d_range,291,177,441,beta,3|4|142|369
CL,cl_v_cas_const,156,140,173,norm,156|11
CL,cl_v_mach_const,0.79,0.70,0.88,norm,0.79|0.06
CL,cl_h_cas_const,4.9,2.1,7.6,norm,4.9|1.4
CL,cl_h_mach_const,7.8,5.7,9.9,norm,7.8|1.1
CL,cl_vh_avg_pre_cas,9.06,6.66,11.47,norm,9.07|1.46
CL,cl_vh_avg_cas_const,7.90,4.75,11.06,norm,7.90|1.92
CL,cl_vh_avg_mach_const,4.74,3.35,7.70,gamma,7.04|1.68|0.51
CR,cr_d_range,978,614,8786,beta,1|1|553|8775
CR,cr_v_cas_mean,134,120,149,norm,135|10
CR,cr_v_cas_max,150,131,170,norm,150|13
CR,cr_v_mach_mean,0.82,0.75,0.88,norm,0.82|0.04
CR,cr_v_mach_max,0.89,0.81,0.97,norm,0.89|0.05
CR,cr_h_mean,11.5,10.5,12.5,norm,11.5|0.6
CR,cr_h_max,12.4,10.7,12.5,beta,6.0|1.2|8.2|4.3
DE,de_d_range,288,219,484,gamma,4|187|25
DE,de_v_mach_const,0.80,0.71,0.90,norm,0.80|0.06
DE,de_v_cas_const,152,135,169,norm,152|11
DE,de_h_mach_const,10.0,7.2,11.4,beta,6.6|2.9|3.2|9.0
DE,de_h_cas_const,5.7,2.8,9.0,beta,2.5|2.8|1.3|9.5
DE,de_vh_avg_mach_const,-6.65,-12.45,-2.75,beta,5.15|3.27|-18.67|18.59
DE,de_vh_avg_cas_const,-8.66,-12.72,-4.59,norm,-8.65|2.47
DE,de_vh_avg_after_cas,-5.54,-7.34,-3.73,norm,-5.53|1.10
FA,fa_va_avg,72,61,84,norm,72|7
FA,fa_vh_avg,-3.63,-4.23,-3.03,norm,-3.63|0.37
LD,ld_v_app,72.0,58.0,82.4,beta,3.9|2.9|44.0|46.6
LD,ld_d_brk,1.51,0.81,3.68,gamma,3.65|0.26|0.47
LD,ld_acc_brk,-1.07,-1.90,-0.54,beta,6.04|3.44|-2.94|2.78
