I
1200 Version - data cycle 2306, build 20240704, metadata FixXP1200. Copyright (c) 2024 Navigraph, Datasource Jeppesen

  7.088611111    9.189444444  AKLIS ENRT DN 2105411 AKLIS
  4.589055556   18.470055556  AKMEL ENRT FE 5917783 AKMEL
-10.016666667   24.550000000  AKMEX ENRT FZ 2105411 AKMEX
 25.641666667   18.891666667  AKMID ENRT HL 2105411 AKMID
  7.741666667   10.383333333  AKMOX ENRT DN 2105431 AKMOX
 -7.676666667   26.771666667  AKNAR ENRT FZ 2105411 AKNAR
 -5.111666667   22.800000000  AKROS ENRT FZ 2118994 AKROS
-11.312786111   27.954841667  AKUGA ENRT FZ 4530243 AKUGA
 -1.008305556   34.026550000  AKUMU ENRT HK 2118999 AKUMU
  7.250000000    5.304166667  AKURE ENRT DN 2105426 AKURE
-23.550000000   26.133333333  AKUTA ENRT FB 5920087 AKUTA
 30.433333333   15.000000000  ALBEY ENRT HL 2105426 ALBEY
-30.620000000   15.000000000  ALDOV ENRT FA 2118999 ALDOV
 22.000000000   35.450000000  ALEBA ENRT HS 2118979 ALEBA
 28.901944444  -13.344750000  ALEDU ENRT GC 5906514 ALEDU
  4.003333333   39.665000000  ALEMU ENRT HA 2118999 ALEMU
-26.976538889   32.160525000  ALENI ENRT FA 2105431 ALENI
  9.367941667   39.125322222  ALETU ENRT HA 4464722 ALETU
 28.166666667   15.266666667  ALGAF ENRT HL 5906499 ALGAF
-33.183483333   25.852063889  ALKAT ENRT FA 2118999 ALKAT
 22.364444444   31.514444444  ALKED ENRT HE 2105411 ALKED
 34.219852778   -4.746477778  ALKIX ENRT GM 2115159 ALKIX
 -0.433333333   33.966666667  ALKON ENRT HK 2118999 ALKON
  7.676388889   45.758333333  ALKOS ENRT HA 2105431 ALKOS
 25.472888889   34.121055556  ALKUN ENRT HE 5920067 ALKUN
  9.562500000   24.747500000  ALMAM ENRT HS 2105411 ALMAM
 27.023119444   34.230255556  ALMOD ENRT HE 5906499 ALMOD
  8.918611111   44.217222222  ALNAB ENRT HA 2118979 ALNAB
 30.900555556   29.716944444  ALPAM ENRT HE 2105411 ALPAM
 29.398611111   31.303055556  ALPID ENRT HE 2105411 ALPID
 17.191944444   32.141944444  ALPOX ENRT HS 2118979 ALPOX
-10.000000000   56.372505556  ALRAN ENRT FS 2118979 ALRAN
 13.662500000   36.228888889  ALRAP ENRT HA 4543831 ALRAP
 -4.216788889   47.964050000  ALRUS ENRT FS 2105411 ALRUS
 -1.451227778   30.744513889  ALSAR ENRT HR 5920067 ALSAR
 28.849166667   33.815555556  ALSOB ENRT HE 2105426 ALSOB
 13.412833333   25.060541667  ALSUG ENRT HS 5917015 ALSUG
 26.600555556   29.771666667  ALTAT ENRT HE 2105411 ALTAT
 30.564722222   31.272777778  ALTOX ENRT HE 5906514 ALTOX
-20.132805556   55.519444444  ALUNA ENRT FM 2105431 ALUNA
 31.403888889   29.194166667  ALVEV ENRT HE 2105411 ALVEV
 29.016527778  -13.084583333  AMAPI ENRT GC 5906514 AMAPI
  5.310000000   35.023333333  AMATO ENRT HA 2118979 AMATO
-10.000000000   55.648658333  AMBAN ENRT FS 2118979 AMBAN
-17.377500000   55.500000000  AMBOD ENRT FM 5920067 AMBOD
 19.056666667   14.785277778  AMDIR ENRT DR 2105426 AMDIR
 14.353333333  -26.358333333  AMDOL ENRT GV 2118999 AMDOL
 -1.430000000   24.396666667  AMGES ENRT FZ 2105426 AMGES
 34.871666667   10.451111111  AMINA ENRT DT 4478290 AMINA
 34.800000000    6.983888889  AMIRA ENRT DA 2118979 AMIRA
 33.927897222   -5.259536111  AMKAS ENRT GM 2115159 AMKAS
  9.951666667  -11.400000000  AMKAX ENRT GF 2105426 AMKAX
  9.157777778  -13.216111111  AMLEB ENRT GU 2105426 AMLEB
 -1.900000000   17.036666667  AMLOD ENRT FZ 2105411 AMLOD
 29.816666667  -10.022500000  AMLOK ENRT GM 2118994 AMLOK
  7.409444444   -9.220833333  AMLOV ENRT GU 2105411 AMLOV
  0.558333333   18.943333333  AMLOX ENRT FZ 2118994 AMLOX
  4.000000000    3.833333333  AMPAN ENRT DG 2105431 AMPAN
  6.666666667   -7.816666667  AMPAS ENRT DI 2118979 AMPAS
