I
1200 Version - data cycle 2306, build 20240704, metadata NavXP1200. Copyright (c) 2024 Navigraph, Datasource Jeppesen

 3   9.102138889    6.017527778      583    11270   130     -1.000  BDA ENRT DN BIDA VOR/DME
12   9.102138889    6.017527778      583    11270   130      0.000  BDA ENRT DN BIDA VOR/DME
 3  11.606416667   37.317216667     6023    11440   130      3.000  BDR ENRT HA BAHIR DAR VOR/DME
12  11.606416667   37.317216667     6023    11440   130      0.000  BDR ENRT HA BAHIR DAR VOR/DME
 3   6.283638889    5.557944444      218    11650   130     -3.000  BEN ENRT DN BENIN VOR/DME
12   6.283638889    5.557944444      218    11650   130      0.000  BEN ENRT DN BENIN VOR/DME
 3   5.534927778   10.354277778     4367    11650   130     -0.000   BF ENRT FK BAFOUSSAM VOR/DME
12   5.534927778   10.354277778     4367    11650   130      0.000   BF ENRT FK BAFOUSSAM VOR/DME
 3  32.157777778   -7.880833333     1476    11540   130     -2.000  BGR ENRT GM BENGUERIR VOR/DME
12  32.157777778   -7.880833333     1476    11540   130      0.000  BGR ENRT GM BENGUERIR VOR/DME
 3  12.490916667    4.390111111      780    11220   130     -1.000  BIK ENRT DN BIRNIN KEBBI VOR/DME
12  12.490916667    4.390111111      780    11220   130      0.000  BIK ENRT DN BIRNIN KEBBI VOR/DME
 3  34.775950000    5.763616667      289    11500   130      1.000  BIS ENRT DA BISKRA VOR/DME
12  34.775950000    5.763616667      289    11500   130      0.000  BIS ENRT DA BISKRA VOR/DME
 3  11.920636111  -15.644841667       79    11430   130     -7.000  BIS ENRT GG BISSAU VOR/DME
12  11.920636111  -15.644841667       79    11430   130      0.000  BIS ENRT GG BISSAU VOR/DME
 3  37.236611111    9.766388889      200    11420   130      3.000  BIZ ENRT DT BIZERTE VOR/DME
12  37.236611111    9.766388889      200    11420   130      0.000  BIZ ENRT DT BIZERTE VOR/DME
 3  13.338133333  -16.655500000      120    11290   130    -10.000   BJ ENRT GB BANJUL VOR/DME
12  13.338133333  -16.655500000      120    11290   130      0.000   BJ ENRT GB BANJUL VOR/DME
 3  36.714569444    5.080397222       36    11300    40      1.000  BJA ENRT DA BEJAIA VOR/DME
12  36.714569444    5.080397222       36    11300    40      0.000  BJA ENRT DA BEJAIA VOR/DME
 3  -3.346338889   29.322025000     2605    11230   130     -3.000  BJA ENRT HB BUJUMBURA VOR/DME
12  -3.346338889   29.322025000     2605    11230   130      0.000  BJA ENRT HB BUJUMBURA VOR/DME
 3  12.546611111   -7.929694444     1280    11370   130     -4.000  BKO ENRT GA BAMAKO VOR/DME
12  12.546611111   -7.929694444     1280    11370   130      0.000  BKO ENRT GA BAMAKO VOR/DME
 3   7.747288889   -5.074941667     1280    11510   130     -4.000  BKY ENRT DI BOUAKE VOR/DME
12   7.747288889   -5.074941667     1280    11510   130      0.000  BKY ENRT DI BOUAKE VOR/DME
 3   4.259683333   20.997627778     1499    11210   130      2.000  BLT ENRT FZ GBADOLITE VOR/DME
12   4.259683333   20.997627778     1499    11210   130      0.000  BLT ENRT FZ GBADOLITE VOR/DME
 3  31.528888889   31.122500000       10    11690   130      5.000  BLT ENRT HE BALTIM VOR/DME
12  31.528888889   31.122500000       10    11690   130      0.000  BLT ENRT HE BALTIM VOR/DME
