uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
1PW013,JT8D-17,Pratt & Whitney,MTF,1.02,17.01,71170,0.22,0.27,0.52,1.25,0.95,1.1,2.67,10.46,20.6,15.7,8.0,3.2,1.245,0.997,0.354,0.1474,499.0,22863.0,0.0231,0.8,30000.0
1PW014,JT8D-17A,Pratt & Whitney,MTF,1.05,16.87,71170,0.25,0.3,0.64,6.6,1.07,1.16,2.88,12.46,19.1,14.3,6.7,3.2,1.173,0.9344,0.3304,0.1401,470.0,22863.0,0.0219,0.8,30000.0
1PW015,JT8D-17AR,Pratt & Whitney,MTF,0.96,17.28,77420,0.21,0.27,0.55,1.33,0.93,1.08,2.68,10.7,24.5,16.0,8.0,3.2,1.365,1.047,0.3574,0.1477,512.0,22863.0,0.0221,0.8,30000.0
1PW016,JT8D-17R,Pratt & Whitney,MTF,0.97,18.24,77420,0.21,0.27,0.53,0.95,0.95,1.03,2.54,9.43,25.3,17.6,8.4,3.3,1.417,1.103,0.3755,0.155,537.0,22863.0,0.0232,0.8,30000.0
1PW017,JT8D-209,Pratt & Whitney,MTF,1.8,18.3,85600,0.35,0.5,1.69,4.03,1.03,1.4,4.37,14.1,22.8,19.0,8.8,3.5,1.191,0.9828,0.3592,0.1303,469.0,21996.0,0.0205,0.8,35000.0
1PW018,JT8D-217,Pratt & Whitney,MTF,1.73,19.66,92740,0.28,0.43,1.6,3.33,0.8,1.23,4.17,12.27,25.7,20.6,9.1,3.7,1.32,1.078,0.3833,0.1372,504.0,23308.0,0.0213,0.8,35000.0
4PW069,JT8D-217A,Pratt & Whitney,MTF,1.73,19.66,92740,0.0,0.0,0.0,0.0,0.42,0.47,3.54,15.31,17.54,13.54,7.66,4.57,1.32,1.078,0.3833,0.1372,504.0,23308.0,0.0213,0.8,35000.0
4PW070,JT8D-217C,Pratt & Whitney,MTF,1.7,19.05,92740,0.0,0.0,0.0,0.0,0.42,0.49,3.79,17.89,16.49,13.02,7.65,4.05,1.282,1.045,0.363,0.137,493.0,23308.0,0.0208,0.8,35000.0
4PW071,JT8D-219,Pratt & Whitney,MTF,1.7,20.27,96520,0.0,0.0,0.0,0.0,0.42,0.46,3.57,17.19,18.72,13.73,7.65,4.16,1.354,1.085,0.3817,0.1344,501.0,23353.0,0.0209,0.8,35000.0
8PW085,JT8D-7,Pratt & Whitney,MTF,1.05,15.82,62270,0.25,0.25,0.4,3.8,0.9,1.1,2.2,14.3,17.2,14.0,6.3,3.15,0.9892,0.8113,0.2861,0.1291,419.0,18993.0,0.0225,0.8,30000.0
1PW007,JT8D-9,Pratt & Whitney,MTF,1.04,15.88,64500,0.15,0.18,0.6,3.12,1.04,1.11,2.14,14.14,19.3,14.5,6.0,2.9,1.04,0.8453,0.2977,0.1323,433.0,20194.0,0.0227,0.8,30000.0
1PW032,JT9D-20J,Pratt & Whitney,TF,5.1,23.5,222400,0.0,0.0,0.5,24.5,0.9,0.9,5.5,66.7,44.9,34.9,9.4,3.3,2.315,1.902,0.679,0.238,883.0,47506.0,0.0177,0.85,35000.0
1PW033,JT9D-59A,Pratt & Whitney,TF,4.9,24.5,235800,0.2,0.2,0.3,12.0,0.2,0.2,1.7,53.0,31.6,25.6,7.8,3.0,2.4419,1.9996,0.6804,0.237,900.0,53156.0,0.0179,0.85,35000.0
1PW034,JT9D-70A,Pratt & Whitney,TF,4.9,24.5,235800,0.2,0.2,0.3,12.0,0.2,0.2,1.7,53.0,31.6,25.6,7.8,3.0,2.4419,1.9996,0.6804,0.237,900.0,53156.0,0.0179,0.85,35000.0
1PW023,JT9D-7F,Pratt & Whitney,TF,5.1,22.8,213500,0.0,0.0,0.6,25.9,0.9,0.9,5.8,68.6,41.7,31.5,9.1,3.2,2.161,1.779,0.624,0.232,837.0,49152.0,0.0179,0.85,35000.0
1PW024,JT9D-7J,Pratt & Whitney,TF,5.1,23.5,222400,0.0,0.0,0.5,24.5,0.9,0.9,5.5,66.7,44.9,34.9,9.4,3.3,2.315,1.902,0.679,0.238,883.0,49152.0,0.0179,0.85,35000.0
1PW025,JT9D-7Q,Pratt & Whitney,TF,4.9,24.5,235750,0.2,0.2,0.3,12.0,0.2,0.2,1.7,53.0,31.6,25.6,7.8,3.0,2.4419,1.9996,0.6804,0.237,900.0,53156.0,0.0179,0.85,35000.0
1PW026,"JT9D-7R4D, -7R4D1",Pratt & Whitney,TF,5.0,23.4,213500,0.15,0.12,0.13,1.25,0.51,0.48,1.36,8.84,38.5,30.0,9.8,4.1,2.055,1.678,0.6593,0.2054,810.0,,,,
1PW027,"JT9D-7R4E, -7R4E1",Pratt & Whitney,TF,5.0,24.2,222400,0.16,0.13,0.13,1.11,0.57,0.53,1.23,8.27,41.6,34.2,10.4,4.1,2.118,1.724,0.6529,0.221,818.0,,,,
1PW028,"JT9D-7R4E4, -E1",Pratt & Whitney,TF,5.0,24.2,222410,0.15,0.13,0.22,3.35,0.67,0.67,1.46,16.0,36.9,29.7,8.5,3.5,2.218,1.829,0.64,0.2205,832.0,,,,
1PW029,JT9D-7R4G2,Pratt & Whitney,TF,4.8,26.3,243500,0.15,0.14,0.18,1.55,0.74,0.63,1.4,11.82,41.3,29.5,8.8,3.8,2.429,1.88,0.659,0.2239,858.0,54490.0,0.0181,0.85,35000.0
1PW030,JT9D-7R4H1,Pratt & Whitney,TF,4.8,26.7,249100,0.15,0.14,0.18,1.48,0.74,0.63,1.39,11.63,45.2,30.0,8.9,3.8,2.512,1.999,0.7227,0.2454,926.0,54490.0,0.0178,0.85,35000.0
19PW127,PW814GA,Pratt & Whitney Canada,TF,5.66,33.87,68630,0.0,0.0,0.02,0.05,0.0,0.0,1.76,13.88,23.26,17.94,11.46,6.25,0.667,0.549,0.194,0.07,256.2,,,,
19PW128,PW815GA,Pratt & Whitney Canada,TF,5.6,35.0,71220,0.0,0.0,0.02,0.05,0.0,0.0,1.5,13.4,24.88,18.89,11.47,6.41,0.699,0.573,0.201,0.071,264.0,,,,
18PW117,PW1122G-JM,Pratt & Whitney,TF,12.72,28.78,107820,0.1,0.1,0.02,0.55,0.26,0.38,6.39,29.78,16.47,13.85,8.92,4.72,0.71,0.6,0.21,0.08,284.0,,,,
18PW118,PW1124G1-JM,Pratt & Whitney,TF,12.72,28.78,107820,0.1,0.1,0.02,0.55,0.26,0.38,6.39,29.78,16.47,13.85,8.92,4.72,0.71,0.6,0.21,0.08,284.0,,,,
18PW119,PW1124G-JM,Pratt & Whitney,TF,12.72,28.78,107820,0.1,0.1,0.02,0.55,0.26,0.38,6.39,29.78,16.47,13.85,8.92,4.72,0.71,0.6,0.21,0.08,284.0,,,,
18PW120,PW1127G1-JM,Pratt & Whitney,TF,12.28,31.66,120430,0.02,0.04,0.02,0.43,0.22,0.3,5.36,27.93,18.82,15.3,9.07,4.84,0.8,0.67,0.2322,0.08,303.0,,,,
18PW121,PW1127GA-JM,Pratt & Whitney,TF,12.28,31.66,120430,0.02,0.04,0.02,0.43,0.22,0.3,5.36,27.93,18.82,15.3,9.07,4.84,0.8,0.67,0.2322,0.08,303.0,,,,
18PW122,PW1127G-JM,Pratt & Whitney,TF,12.28,31.66,120430,0.02,0.04,0.02,0.43,0.22,0.3,5.36,27.93,18.82,15.3,9.07,4.84,0.8,0.67,0.2322,0.08,303.0,,,,
18PW123,PW1129G-JM,Pratt & Whitney,TF,12.0,34.02,130080,0.02,0.04,0.02,0.36,0.21,0.25,4.58,26.52,20.98,16.84,9.19,4.98,0.88,0.73,0.2546,0.08,318.0,,,,
18PW124,PW1130G-JM,Pratt & Whitney,TF,11.58,38.07,147280,0.02,0.05,0.02,0.26,0.23,0.22,3.44,24.06,25.46,19.84,9.4,5.31,1.023,0.8385,0.27834,0.0988,375.0,,,,
18PW125,PW1133GA-JM,Pratt & Whitney,TF,11.58,38.07,147280,0.02,0.05,0.02,0.26,0.23,0.22,3.44,24.06,25.46,19.84,9.4,5.31,1.023,0.8385,0.27834,0.0988,375.0,,,,
18PW126,PW1133G-JM,Pratt & Whitney,TF,11.58,38.07,147280,0.02,0.05,0.02,0.26,0.23,0.22,3.44,24.06,25.46,19.84,9.4,5.31,1.023,0.8385,0.27834,0.0988,375.0,,,,
21PW139,PW1215G,Pratt & Whitney,TF,8.6,29.36,67660,0.03,0.02,0.02,0.02,0.4,0.4,3.0,16.0,20.0,15.8,8.3,4.8,0.551,0.461,0.166,0.065,224.7,,,,
