uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
1RR006,RB211-524C2,Rolls-Royce plc,TF,4.5,29.1,224800,0.0,0.22,4.42,54.2,0.66,1.63,18.9,81.0,41.9,32.3,10.4,3.37,2.48,2.02,0.74,0.3,1016.0,,,,
1RR008,RB211-524D4,Rolls-Royce plc,TF,4.3,30.22,231300,0.59,0.26,0.7,1.41,1.24,0.34,1.56,9.3,59.35,43.01,10.63,4.41,2.34,1.91,0.65,0.26,912.0,,,,
1RR010,RB211-524G,Rolls-Royce plc,MTF,4.25,32.1,253000,0.39,0.27,0.37,0.89,0.59,0.43,1.01,13.74,58.71,40.54,9.56,4.63,2.62,2.08,0.7,0.26,958.0,,,,
4RR036,RB211-524G-T,Rolls-Royce plc,MTF,4.25,32.1,253000,0.0,0.03,0.0,3.95,0.16,0.14,1.17,28.82,28.43,21.8,9.68,4.0,2.62,2.1,0.74,0.26,970.0,,,,
1RR011,RB211-524H,Rolls-Royce plc,MTF,4.2,34.0,264400,0.34,0.33,0.36,0.74,0.87,0.38,0.99,11.75,65.84,46.31,10.26,4.78,2.73,2.17,0.71,0.26,977.0,,,,
4RR037,RB211-524H-T,Rolls-Royce plc,MTF,4.2,34.0,264000,0.0,0.02,0.0,3.31,0.18,0.14,1.05,26.17,31.19,23.19,9.91,4.16,2.81,2.22,0.77,0.26,1001.0,,,,
1RR012,RB211-535C,Rolls-Royce plc,TF,4.5,21.5,163300,0.25,0.14,0.44,1.44,0.7,0.27,0.48,18.79,33.71,24.89,6.37,3.44,1.8,1.47,0.54,0.2,711.0,,,,
5RR038,RB211-535E4,Rolls-Royce plc,MTF,4.1,26.0,178400,0.03,0.0,0.04,0.27,0.26,0.29,2.72,20.33,22.31,17.56,8.38,4.4,1.85,1.5,0.52,0.18,681.0,,,,
5RR039,RB211-535E4B,Rolls-Royce plc,MTF,4.1,27.9,191700,0.07,0.0,0.05,0.14,0.33,0.26,2.43,18.24,25.88,19.3,8.65,4.58,2.07,1.64,0.55,0.19,732.0,,,,
4RR035,Spey 555,Rolls-Royce plc,MTF,1.0,15.9,44000,0.15,0.22,0.33,3.41,1.54,2.08,5.78,31.16,17.33,13.06,5.05,2.23,0.735,0.593,0.221,0.0964,313.0,,,,
8RR043,SPEY Mk511,Rolls-Royce plc,MTF,0.64,19.9,50700,0.98,1.32,7.23,56.73,1.81,2.06,20.3,97.96,23.27,19.18,7.94,1.48,0.889,0.726,0.279,0.119,386.0,,,,
1RR018,SPEY Mk555,Rolls-Royce plc,MTF,1.0,15.9,44000,0.29,0.15,0.29,1.86,0.3,0.7,3.7,29.3,21.9,16.5,6.8,3.7,0.735,0.592,0.221,0.096,312.0,,,,
11RR048,TAY 611-8C,Rolls-Royce plc,MTF,3.26,15.88,61600,0.03,0.05,0.65,1.49,0.5,0.95,2.89,24.4,19.3,15.4,5.31,2.53,0.731,0.604,0.215,0.102,321.0,,,,
3RR031,TAY 650,Rolls-Royce plc,MTF,3.0,15.9,67200,0.11,0.22,0.11,1.23,0.69,0.48,1.76,22.36,16.45,12.94,5.26,2.5,0.86,0.71,0.25,0.12,377.0,,,,
3RR033,TAY 651,Rolls-Royce plc,MTF,3.0,16.4,68500,0.56,0.37,0.85,3.1,1.68,1.93,6.11,32.68,20.31,17.13,4.77,1.72,0.87,0.72,0.26,0.12,381.0,,,,
1RR019,TAY Mk611-8,Rolls-Royce plc,MTF,3.0,16.1,61600,0.8,0.3,0.9,3.4,0.7,0.8,3.9,24.1,21.1,16.8,5.7,2.5,0.76,0.63,0.23,0.11,342.0,,,,
1RR020,TAY Mk620-15,Rolls-Royce plc,MTF,3.0,16.1,61600,0.8,0.3,0.9,3.4,0.7,0.8,3.9,24.1,21.1,16.8,5.7,2.5,0.76,0.63,0.23,0.11,342.0,,,,
1RR021,TAY Mk650-15,Rolls-Royce plc,MTF,3.0,16.4,67200,0.37,0.41,0.88,3.29,1.74,2.01,6.54,33.77,19.81,16.47,4.55,1.7,0.874,0.715,0.254,0.119,378.0,,,,
8RR044,Trent 553-61,Rolls-Royce plc,TF,7.5,35.19,251900,0.02,0.01,0.04,0.14,0.18,0.44,0.66,10.5,40.55,30.98,11.37,5.96,2.11,1.73,0.6,0.23,820.0,,,,
8RR045,Trent 556-61,Rolls-Royce plc,TF,7.5,36.63,263900,0.02,0.01,0.04,0.13,0.17,0.38,0.54,9.96,44.77,33.25,11.68,6.09,2.24,1.83,0.62,0.23,843.0,,,,
14RR070,Trent 768,Rolls-Royce plc,MTF,5.15,34.48,304200,0.0,0.01,0.04,3.19,0.35,0.49,1.71,26.94,32.01,24.9,10.12,4.46,2.907,2.375,0.781,0.259,1027.0,,,,
14RR071,Trent 772,Rolls-Royce plc,MTF,5.03,36.3302939575395,320300,0.01,0.01,0.04,2.46,0.21,0.49,1.56,23.97,35.56,26.82,10.42,4.66,3.139,2.53,0.821,0.27,1085.0,,,,
2RR024,Trent 875,Rolls-Royce plc,TF,6.08,35.42,351850,0.0,0.0,0.0,1.78,0.19,0.16,0.86,19.66,33.32,26.55,10.43,4.64,3.1,2.57,0.88,0.28,1117.0,,,,
2RR025,Trent 877,Rolls-Royce plc,TF,6.02,36.3,361640,0.0,0.0,0.0,1.55,0.2,0.16,0.8,18.42,34.76,27.59,10.59,4.75,3.21,2.66,0.9,0.28,1139.0,,,,
2RR026,Trent 884,Rolls-Royce plc,TF,5.87,38.96,390100,0.0,0.0,0.0,1.0,0.24,0.18,0.65,15.19,40.05,30.63,11.07,5.04,3.56,2.89,0.97,0.31,1247.0,,,,
2RR027,Trent 892,Rolls-Royce plc,TF,5.7,41.38,411480,0.01,0.0,0.0,0.7,0.28,0.2,0.57,13.07,45.7,33.3,11.58,5.33,3.91,3.1,1.0,0.3,1281.0,,,,
5RR040,Trent 895,Rolls-Royce plc,TF,5.7,41.52,413050,0.02,0.0,0.0,0.89,0.27,0.19,0.54,14.71,47.79,34.29,11.39,5.11,4.03,3.19,1.05,0.33,1357.0,,,,
18RR081,Trent 970-84,Rolls-Royce plc,TF,8.45,38.0,338700,0.02,0.12,0.08,0.04,0.32,0.31,1.16,13.38,38.29,29.42,12.09,5.44,2.605,2.157,0.72,0.255,965.0,,,,
18RR082,Trent 970B-84,Rolls-Royce plc,TF,8.38,39.35,352900,0.0,0.09,0.07,0.04,0.33,0.31,1.05,12.65,41.34,31.3,12.37,5.57,2.738,2.262,0.749,0.261,1001.0,,,,
18RR083,Trent 972-84,Rolls-Royce plc,TF,8.41,38.68,345900,0.01,0.11,0.07,0.04,0.32,0.31,1.1,13.0,39.78,30.36,12.23,5.51,2.672,2.21,0.735,0.258,983.0,,,,
18RR084,Trent 972E-84,Rolls-Royce plc,TF,8.41,38.68,345900,0.01,0.11,0.07,0.04,0.32,0.31,1.1,13.0,39.78,30.36,12.23,5.51,2.672,2.21,0.735,0.258,983.0,,,,
12RR061,Trent 1000-A2,Rolls-Royce plc,TF,9.32,41.3,310900,0.0,0.0,0.0,0.04,0.51,0.45,0.77,8.4,46.11,35.48,13.11,5.48,2.284,1.882,0.624,0.245,876.0,,,,
12RR062,Trent 1000-C2,Rolls-Royce plc,TF,9.16,44.1,334700,0.0,0.0,0.0,0.03,0.5,0.48,0.67,7.37,52.65,39.86,13.67,5.74,2.503,2.053,0.666,0.247,922.0,,,,
12RR063,Trent 1000-D2,Rolls-Royce plc,TF,9.16,44.1,334700,0.0,0.0,0.0,0.03,0.5,0.48,0.67,7.37,52.65,39.86,13.67,5.74,2.503,2.053,0.666,0.247,922.0,,,,
12RR064,Trent 1000-E2,Rolls-Royce plc,TF,9.62,36.32,268000,0.0,0.0,0.0,0.1,0.46,0.42,1.01,11.35,36.25,28.52,12.12,4.98,1.912,1.582,0.549,0.223,769.0,,,,
12RR065,Trent 1000-G2,Rolls-Royce plc,TF,9.23,42.81,323700,0.0,0.0,0.0,0.04,0.51,0.46,0.72,7.81,49.57,37.8,13.41,5.62,2.402,1.973,0.647,0.243,895.0,,,,
12RR066,Trent 1000-H2,Rolls-Royce plc,TF,9.49,38.52,287100,0.0,0.0,0.0,0.07,0.48,0.43,0.89,9.82,40.46,31.49,12.56,5.21,2.075,1.715,0.582,0.233,817.0,,,,
12RR067,Trent 1000-J2,Rolls-Royce plc,TF,9.04,46.08,350900,0.0,0.0,0.0,0.02,0.43,0.49,0.62,6.8,58.04,43.07,14.06,5.91,2.663,2.173,0.696,0.254,962.0,,,,
12RR068,Trent 1000-K2,Rolls-Royce plc,TF,9.04,46.08,350900,0.0,0.0,0.0,0.02,0.43,0.49,0.62,6.8,58.04,43.07,14.06,5.91,2.663,2.173,0.696,0.254,962.0,,,,
12RR069,Trent 1000-L2,Rolls-Royce plc,TF,9.16,44.1,334700,0.0,0.0,0.0,0.03,0.5,0.48,0.67,7.37,52.65,39.86,13.67,5.74,2.503,2.053,0.666,0.247,922.0,,,,
19RR085,Trent 1000-AE3,Rolls-Royce plc,TF,9.2,43.0,310900,0.0,0.0,0.0,0.0,0.43,0.44,0.76,6.93,46.1,35.9,13.5,5.9,2.279,1.874,0.623,0.239,866.0,,,,
19RR086,Trent 1000-CE3,Rolls-Royce plc,TF,9.0,45.8,334700,0.0,0.0,0.0,0.0,0.41,0.45,0.65,6.23,52.07,40.11,14.08,6.16,2.497,2.046,0.667,0.249,924.0,,,,
19RR087,Trent 1000-D3,Rolls-Royce plc,TF,9.0,45.8,334700,0.0,0.0,0.0,0.0,0.41,0.45,0.65,6.23,52.07,40.11,14.08,6.16,2.497,2.046,0.667,0.249,924.0,,,,
19RR088,Trent 1000-G3,Rolls-Royce plc,TF,9.1,44.5,323700,0.0,0.0,0.0,0.0,0.42,0.45,0.7,6.54,49.25,38.14,13.81,6.04,2.395,1.966,0.647,0.245,897.0,,,,
19RR089,Trent 1000-H3,Rolls-Royce plc,TF,9.3,40.1,287100,0.0,0.0,0.0,0.0,0.45,0.43,0.89,7.78,40.67,32.04,12.94,5.64,2.068,1.706,0.579,0.229,808.0,,,,
19RR090,Trent 1000-J3,Rolls-Royce plc,TF,8.9,47.8,350900,0.0,0.0,0.0,0.0,0.35,0.44,0.58,5.8,56.35,43.21,14.49,6.34,2.649,2.168,0.699,0.256,965.0,,,,
19RR091,Trent 1000-K3,Rolls-Royce plc,TF,8.9,47.8,350900,0.0,0.0,0.0,0.0,0.35,0.44,0.58,5.8,56.35,43.21,14.49,6.34,2.649,2.168,0.699,0.256,965.0,,,,
19RR092,Trent 1000-L3,Rolls-Royce plc,TF,9.0,45.8,334700,0.0,0.0,0.0,0.0,0.41,0.45,0.65,6.23,52.07,40.11,14.08,6.16,2.497,2.046,0.667,0.249,924.0,,,,
19RR093,Trent 1000-M3,Rolls-Royce plc,TF,8.9,48.7,358100,0.0,0.0,0.0,0.0,0.43,0.44,0.59,6.13,59.3,44.55,14.72,6.61,2.721,2.222,0.712,0.26,983.0,,,,
19RR094,Trent 1000-N3,Rolls-Royce plc,TF,8.9,48.7,358100,0.0,0.0,0.0,0.0,0.43,0.44,0.59,6.13,59.3,44.55,14.72,6.61,2.721,2.222,0.712,0.26,983.0,,,,
19RR095,Trent 1000-P3,Rolls-Royce plc,TF,9.0,45.8,334700,0.0,0.0,0.0,0.0,0.41,0.45,0.65,6.23,52.07,40.11,14.08,6.16,2.497,2.046,0.667,0.249,924.0,,,,
19RR096,Trent 1000-Q3,Rolls-Royce plc,TF,8.9,47.8,350900,0.0,0.0,0.0,0.0,0.35,0.44,0.58,5.8,56.35,43.21,14.49,6.34,2.649,2.168,0.699,0.256,965.0,,,,
19RR097,Trent 1000-R3,Rolls-Royce plc,TF,8.9,49.4,363900,0.0,0.0,0.0,0.0,0.45,0.43,0.57,5.99,61.62,45.76,14.87,6.67,2.783,2.266,0.723,0.262,998.0,,,,
19RR098,Trent7000-72,Rolls-Royce plc,TF,9.0,45.4,327900,0.0,0.0,0.0,0.0,0.41,0.45,0.63,6.45,56.8,42.04,14.12,6.1,2.478,2.029,0.67,0.241,909.0,,,,
19RR099,Trent7000-72C,Rolls-Royce plc,TF,9.0,45.4,327900,0.0,0.0,0.0,0.0,0.41,0.45,0.63,6.45,56.8,42.04,14.12,6.1,2.478,2.029,0.67,0.241,909.0,,,,
18RR076,Trent XWB-75,Rolls-Royce plc,TF,9.3,36.8,334000,0.0,0.0,0.01,1.42,0.39,0.41,1.56,25.26,36.23,28.29,10.13,4.06,2.411,1.98,0.715,0.27,955.0,,,,
18RR077,Trent XWB-79B,Rolls-Royce plc,TF,9.15,38.8,355200,0.0,0.0,0.01,1.22,0.39,0.4,1.36,23.37,40.2,30.88,10.59,4.23,2.601,2.129,0.755,0.28,1008.0,,,,
18RR078,Trent XWB-79,Rolls-Royce plc,TF,9.15,38.8,355200,0.0,0.0,0.01,1.22,0.39,0.4,1.36,23.37,40.2,30.88,10.59,4.23,2.601,2.129,0.755,0.28,1008.0,,,,
18RR079,Trent XWB-84,Rolls-Royce plc,TF,9.01,41.1,379000,0.0,0.0,0.01,1.03,0.39,0.39,1.18,21.46,45.24,34.2,11.12,4.41,2.819,2.306,0.801,0.291,1069.0,,,,
21RR100,Trent XWB-97,Rolls-Royce plc,TF,8.059,48.41317365269461,436748,0.0,0.0,0.0,0.0100603234724198,0.3559904604116914,0.3994335979927153,0.8188114669397981,7.746338116395993,66.05032223888114,48.5051681110626,14.858684091490996,5.641126438050629,3.4978265142580667,2.798047264809943,0.9180765974175208,0.3008381465017589,1205.8968444767,,,,
1TL001,ALF 502L-2,Textron Lycoming,TF,5.1,13.15,33400,0.02,0.023,0.183,6.65,0.4,0.3,3.97,45.63,13.43,12.03,6.47,3.38,0.3999,0.3236,0.1172,0.0477,162.0,,,,
1TL002,ALF 502R-3,Textron Lycoming,TF,5.7,11.4,29800,0.056,0.053,0.287,6.51,0.433,0.5,8.43,44.67,11.2,9.94,6.15,3.3,0.3476,0.288,0.1027,0.0432,145.0,,,,
1TL003,ALF 502R-5,Textron Lycoming,TF,5.6,12.0,31000,0.06,0.053,0.217,5.39,0.3,0.25,7.1,40.93,13.35,10.56,6.6,3.78,0.3581,0.2955,0.1034,0.0408,143.0,,,,
1TL004,"LF507-1F, -1H",Textron Lycoming,TF,5.1,13.0,31000,0.01,0.01,0.12,4.72,0.2,0.3,4.43,37.83,14.52,12.02,6.39,3.28,0.3578,0.2961,0.1083,0.0453,151.0,,,,
13ZM002,D-36 ser. 4A,IVCHENKO PROGRESS ZMBK,TF,5.0,19.9,63770,0.0,0.0,0.0,5.4,0.5,0.4,2.7,20.7,26.0,22.0,9.0,5.5,0.634,0.533,0.211,0.092,265.0,,,,
13ZM003,D-436-148 F1,IVCHENKO PROGRESS ZMBK,TF,4.9,19.8,64430,0.1,0.04,0.07,2.26,0.54,0.54,2.99,23.46,18.93,16.0,7.26,3.64,0.548,0.468,0.218,0.093,260.0,,,,
13ZM004,D-436-148 F2,IVCHENKO PROGRESS ZMBK,TF,4.9,20.73,68720,0.09,0.05,0.08,1.39,0.48,0.4,2.71,19.56,19.76,16.64,7.31,3.78,0.581,0.493,0.225,0.099,274.0,,,,
