phase,param,opt,min,max,model,pm
TO,to_v_lof,92.7,74.4,106.6,beta,2227.8|41.1|-3843.9|4007.5
TO,to_d_tof,1.82,0.69,2.95,norm,1.82|0.49
TO,to_acc_tof,1.89,1.35,2.44,norm,1.89|0.33
IC,ic_va_avg,88,73,102,beta,5542341|94|-5760724|5760909
IC,ic_vh_avg,14.09,9.16,19.01,norm,14.09|2.99
CL,cl_d_range,208,162,313,gamma,7|133|12
CL,cl_v_cas_const,161,140,183,norm,161|14
CL,cl_v_mach_const,0.80,0.69,0.91,norm,0.80|0.08
CL,cl_h_cas_const,5.8,2.9,7.6,beta,2783434.7|21.5|-727837.3|727848.5
CL,cl_h_mach_const,7.8,5.9,9.6,norm,7.8|0.9
CL,cl_vh_avg_pre_cas,10.47,7.56,13.40,norm,10.48|1.78
CL,cl_vh_avg_cas_const,9.86,6.20,13.54,norm,9.87|2.23
CL,cl_vh_avg_mach_const,7.18,3.99,9.80,beta,27.98|14.90|-9.02|24.55
CR,cr_d_range,1863,612,10531,beta,1|3|495|13512
CR,cr_v_cas_mean,140,120,159,norm,140|13
CR,cr_v_cas_max,158,134,182,norm,158|16
CR,cr_v_mach_mean,0.81,0.72,0.90,norm,0.81|0.06
CR,cr_v_mach_max,0.89,0.79,0.99,norm,0.89|0.07
CR,cr_h_mean,10.8,9.9,11.7,norm,10.8|0.6
CR,cr_h_max,11.2,10.3,12.0,norm,11.2|0.5
DE,de_d_range,245,179,448,gamma,4|152|27
DE,de_v_mach_const,0.79,0.67,0.88,beta,1023962.15|36.94|-12318.57|12319.80
DE,de_v_cas_const,153,132,171,beta,4137|119|-5113|5417
DE,de_h_mach_const,9.1,7.1,11.1,norm,9.1|1.2
DE,de_h_cas_const,6.3,3.1,8.7,beta,13.0|7.6|-4.2|16.3
DE,de_vh_avg_mach_const,-6.63,-13.26,-2.74,beta,7.68|3.63|-23.92|24.10
DE,de_vh_avg_cas_const,-9.66,-14.57,-4.75,norm,-9.66|2.99
DE,de_vh_avg_after_cas,-6.00,-7.87,-4.13,norm,-6.00|1.14
FA,fa_va_avg,75,59,87,beta,39|16|-38|158
FA,fa_vh_avg,-3.73,-4.33,-2.82,gamma,22.09|-5.79|0.10
LD,ld_v_app,73.0,58.6,84.3,beta,281.6|42.9|-341.2|476.0
LD,ld_d_brk,1.60,0.48,4.54,beta,2.20|5.29|0.28|6.08
LD,ld_acc_brk,-1.05,-1.86,-0.51,beta,17.86|7.27|-4.43|4.63
