phase,param,opt,min,max,model,pm
TO,to_v_lof,81.4,67.6,95.3,norm,81.4|9.6
TO,to_d_tof,1.57,1.06,2.46,gamma,13.05|0.14|0.12
TO,to_acc_tof,1.77,1.31,2.24,norm,1.78|0.28
IC,ic_va_avg,77,64,90,norm,77|9
IC,ic_vh_avg,12.11,9.18,15.06,norm,12.12|1.79
CL,cl_d_range,210,161,343,gamma,5|138|17
CL,cl_v_cas_const,150,130,170,norm,150|14
CL,cl_v_mach_const,0.76,0.66,0.87,norm,0.77|0.07
CL,cl_h_cas_const,4.8,2.1,7.5,norm,4.8|1.4
CL,cl_h_mach_const,8.0,5.6,10.1,beta,5.3|4.2|3.6|7.7
CL,cl_vh_avg_pre_cas,11.27,8.43,14.11,norm,11.27|1.73
CL,cl_vh_avg_cas_const,10.13,6.85,13.43,norm,10.14|2.00
CL,cl_vh_avg_mach_const,6.38,4.27,8.50,norm,6.38|1.29
CR,cr_d_range,341,184,3624,gamma,1|164|666
CR,cr_v_cas_mean,128,107,150,norm,129|14
CR,cr_v_cas_max,137,114,161,norm,137|16
CR,cr_v_mach_mean,0.77,0.66,0.88,norm,0.77|0.08
CR,cr_v_mach_max,0.82,0.70,0.93,norm,0.82|0.08
CR,cr_h_mean,11.5,10.2,12.0,beta,7.1|2.2|8.1|4.1
CR,cr_h_max,11.6,10.4,12.0,beta,7.0|2.1|8.4|3.8
DE,de_d_range,237,179,456,gamma,3|162|33
DE,de_v_mach_const,0.76,0.65,0.86,norm,0.76|0.08
DE,de_v_cas_const,148,128,169,norm,148|14
DE,de_h_mach_const,9.4,5.9,10.9,beta,4.0|2.1|3.0|8.6
DE,de_h_cas_const,5.2,2.2,8.2,norm,5.2|1.8
DE,de_vh_avg_mach_const,-5.88,-12.62,-2.42,beta,4.46|2.38|-18.97|18.32
DE,de_vh_avg_cas_const,-9.61,-14.23,-4.98,norm,-9.60|2.81
DE,de_vh_avg_after_cas,-5.79,-7.88,-3.69,norm,-5.79|1.27
FA,fa_va_avg,62,54,79,gamma,9|39|2
FA,fa_vh_avg,-3.42,-4.15,-2.70,norm,-3.42|0.44
LD,ld_v_app,63.1,52.6,73.6,norm,63.1|7.3
LD,ld_d_brk,1.74,0.62,3.98,beta,1.66|2.43|0.24|4.75
LD,ld_acc_brk,-0.75,-1.85,-0.34,beta,23.21|3.43|-7.41|7.38
