phase,param,opt,min,max,model,pm
TO,to_v_lof,91.5,73.9,104.1,beta,290.5|26.7|-528.8|675.4
TO,to_d_tof,2.05,0.95,3.14,norm,2.04|0.47
TO,to_acc_tof,1.73,1.26,2.07,beta,6138335.80|36.01|-253810.13|253813.31
IC,ic_va_avg,88,74,99,beta,31|14|0|128
IC,ic_vh_avg,12.19,8.33,16.01,norm,12.17|2.34
CL,cl_d_range,291,178,440,beta,5|7|118|451
CL,cl_v_cas_const,158,140,172,beta,1025|71|-1274|1532
CL,cl_v_mach_const,0.79,0.70,0.88,norm,0.79|0.06
CL,cl_h_cas_const,4.9,2.1,7.6,norm,4.9|1.4
CL,cl_h_mach_const,7.8,5.7,9.9,norm,7.8|1.1
CL,cl_vh_avg_pre_cas,8.94,6.74,11.54,gamma,119.32|-6.88|0.13
CL,cl_vh_avg_cas_const,7.65,4.90,11.19,beta,58.54|59002.23|-6.75|14781.86
CL,cl_vh_avg_mach_const,4.93,3.34,7.48,beta,12.25|101.80|0.53|43.81
CR,cr_d_range,1150,618,8773,beta,1|1|553|8795
CR,cr_v_cas_mean,135,120,149,norm,135|10
CR,cr_v_cas_max,150,131,170,norm,150|13
CR,cr_v_mach_mean,0.82,0.75,0.88,norm,0.82|0.04
CR,cr_v_mach_max,0.89,0.81,0.97,norm,0.89|0.05
CR,cr_h_mean,11.5,10.5,12.5,norm,11.5|0.6
CR,cr_h_max,11.8,11.0,12.7,norm,11.8|0.5
DE,de_d_range,294,218,469,gamma,7|170|20
DE,de_v_mach_const,0.81,0.71,0.89,beta,54019610.71|33.33|-596503.12|596504.29
DE,de_v_cas_const,152,135,169,norm,152|11
DE,de_h_mach_const,9.5,7.5,11.5,norm,9.5|1.2
DE,de_h_cas_const,5.8,2.9,8.9,beta,3.1|3.3|1.0|10.0
DE,de_vh_avg_mach_const,-6.00,-13.08,-3.04,beta,3182613.70|5.57|-4207509.49|4207509.53
DE,de_vh_avg_cas_const,-8.65,-12.72,-4.59,norm,-8.65|2.47
DE,de_vh_avg_after_cas,-5.53,-7.34,-3.73,norm,-5.53|1.10
FA,fa_va_avg,72,61,84,norm,72|7
FA,fa_vh_avg,-3.63,-4.23,-3.03,norm,-3.63|0.37
LD,ld_v_app,72.1,58.3,82.1,beta,4.9|3.4|41.0|50.2
LD,ld_d_brk,1.63,0.53,4.47,gamma,5.72|-0.06|0.36
LD,ld_acc_brk,-1.11,-1.85,-0.56,beta,28.20|11.31|-5.10|5.51
