phase,param,opt,min,max,model,pm
TO,to_v_lof,85.7,71.2,100.3,norm,85.7|10.1
TO,to_d_tof,2.21,1.43,3.78,gamma,8.12|0.40|0.25
TO,to_acc_tof,1.37,0.97,1.78,norm,1.37|0.25
IC,ic_va_avg,82,69,96,norm,82|9
IC,ic_vh_avg,6.58,4.79,10.89,gamma,5.53|2.93|0.81
CL,cl_d_range,298,167,428,norm,298|56
CL,cl_v_cas_const,158,138,179,norm,158|14
CL,cl_v_mach_const,0.78,0.67,0.89,norm,0.78|0.08
CL,cl_h_cas_const,4.7,1.9,7.5,norm,4.7|1.4
CL,cl_h_mach_const,7.4,5.4,9.5,norm,7.4|1.0
CL,cl_vh_avg_pre_cas,7.07,5.23,10.38,gamma,11.62|2.15|0.46
CL,cl_vh_avg_cas_const,6.83,4.50,10.72,gamma,14.54|0.06|0.50
CL,cl_vh_avg_mach_const,4.31,2.95,7.25,gamma,6.90|1.32|0.51
CR,cr_d_range,6147,-947,13263,norm,6158|3054
CR,cr_v_cas_mean,140,123,156,norm,140|11
CR,cr_v_cas_max,160,136,184,norm,160|16
CR,cr_v_mach_mean,0.82,0.75,0.89,norm,0.82|0.05
CR,cr_v_mach_max,0.91,0.81,1.01,norm,0.91|0.07
CR,cr_h_mean,11.0,10.1,11.9,norm,11.0|0.5
CR,cr_h_max,11.6,10.8,12.4,norm,11.6|0.5
DE,de_d_range,277,204,464,gamma,5|166|23
DE,de_v_mach_const,0.80,0.69,0.91,norm,0.80|0.08
DE,de_v_cas_const,154,133,174,norm,154|14
DE,de_h_mach_const,9.7,7.0,11.2,beta,6.5|3.0|3.2|8.9
DE,de_h_cas_const,5.6,2.6,8.7,beta,2.9|3.0|0.8|9.8
DE,de_vh_avg_mach_const,-6.77,-12.86,-2.67,beta,4.83|3.12|-19.00|19.00
DE,de_vh_avg_cas_const,-9.18,-13.47,-4.87,norm,-9.17|2.61
DE,de_vh_avg_after_cas,-5.39,-7.16,-3.61,norm,-5.39|1.08
FA,fa_va_avg,72,60,84,norm,72|8
FA,fa_vh_avg,-3.64,-4.31,-2.97,norm,-3.64|0.41
LD,ld_v_app,70.7,59.8,81.7,norm,70.8|7.6
LD,ld_d_brk,1.67,0.91,3.96,gamma,3.88|0.28|0.49
LD,ld_acc_brk,-1.05,-1.81,-0.46,beta,5.17|3.77|-2.62|2.62
