phase,param,opt,min,max,model,pm
TO,to_v_lof,81.3,67.7,95.0,norm,81.3|9.5
TO,to_d_tof,1.56,1.02,2.54,gamma,11.11|0.14|0.14
TO,to_acc_tof,1.71,1.23,2.19,norm,1.71|0.29
IC,ic_va_avg,78,64,93,norm,78|10
IC,ic_vh_avg,11.62,7.51,15.74,norm,11.62|2.50
CL,cl_d_range,206,157,331,gamma,5|130|15
CL,cl_v_cas_const,150,131,168,norm,150|12
CL,cl_v_mach_const,0.77,0.67,0.86,norm,0.77|0.07
CL,cl_h_cas_const,5.0,2.2,7.8,norm,5.0|1.4
CL,cl_h_mach_const,8.2,6.1,10.4,norm,8.2|1.1
CL,cl_vh_avg_pre_cas,11.89,8.43,15.36,norm,11.90|2.10
CL,cl_vh_avg_cas_const,11.43,7.52,15.35,norm,11.44|2.38
CL,cl_vh_avg_mach_const,6.94,4.53,9.37,norm,6.95|1.47
CR,cr_d_range,483,187,4508,gamma,1|150|792
CR,cr_v_cas_mean,124,105,143,norm,124|12
CR,cr_v_cas_max,129,113,160,gamma,9|83|5
CR,cr_v_mach_mean,0.77,0.68,0.87,norm,0.77|0.07
CR,cr_v_mach_max,0.82,0.72,0.93,norm,0.82|0.07
CR,cr_h_mean,11.7,10.7,12.7,norm,11.7|0.6
CR,cr_h_max,12.5,10.8,12.5,beta,5.7|1.0|8.1|4.4
DE,de_d_range,251,171,527,gamma,3|143|40
DE,de_v_mach_const,0.76,0.67,0.85,norm,0.76|0.07
DE,de_v_cas_const,147,129,164,norm,147|11
DE,de_h_mach_const,9.8,6.6,11.3,beta,6.5|2.8|2.2|10.0
DE,de_h_cas_const,5.4,2.1,8.6,norm,5.4|2.0
DE,de_vh_avg_mach_const,-6.23,-12.81,-2.02,beta,3.33|2.32|-17.25|17.25
DE,de_vh_avg_cas_const,-9.05,-14.01,-4.07,norm,-9.04|3.02
DE,de_vh_avg_after_cas,-5.71,-8.05,-3.37,norm,-5.71|1.42
FA,fa_va_avg,69,56,82,norm,69|9
FA,fa_vh_avg,-3.57,-4.39,-2.74,norm,-3.57|0.50
LD,ld_v_app,66.0,54.6,77.6,norm,66.1|8.0
LD,ld_d_brk,2.25,0.69,4.39,beta,1.51|1.71|0.27|4.72
LD,ld_acc_brk,-0.78,-1.85,-0.29,beta,6.58|2.65|-3.38|3.36
