phase,param,opt,min,max,model,pm
TO,to_v_lof,89.7,75.0,104.5,norm,89.8|10.2
TO,to_d_tof,2.01,1.21,2.82,norm,2.01|0.49
TO,to_acc_tof,1.70,1.27,2.13,norm,1.70|0.26
IC,ic_va_avg,85,73,98,norm,85|8
IC,ic_vh_avg,12.33,8.34,16.34,norm,12.34|2.43
CL,cl_d_range,283,180,440,beta,2|4|152|364
CL,cl_v_cas_const,156,138,174,norm,156|12
CL,cl_v_mach_const,0.80,0.70,0.90,norm,0.80|0.07
CL,cl_h_cas_const,5.1,2.4,7.7,norm,5.1|1.4
CL,cl_h_mach_const,8.2,6.1,10.2,norm,8.2|1.0
CL,cl_vh_avg_pre_cas,9.70,7.09,12.33,norm,9.71|1.59
CL,cl_vh_avg_cas_const,8.20,4.88,11.54,norm,8.21|2.03
CL,cl_vh_avg_mach_const,4.87,3.37,7.79,gamma,8.73|1.30|0.46
CR,cr_d_range,1301,266,10667,beta,1|2|173|12186
CR,cr_v_cas_mean,132,117,148,norm,132|10
CR,cr_v_cas_max,148,126,170,norm,148|15
CR,cr_v_mach_mean,0.82,0.74,0.89,norm,0.82|0.05
CR,cr_v_mach_max,0.89,0.80,0.97,norm,0.89|0.06
CR,cr_h_mean,11.7,10.7,12.6,norm,11.7|0.6
CR,cr_h_max,12.5,10.9,12.5,beta,6.0|1.0|8.2|4.3
DE,de_d_range,280,210,473,gamma,5|176|25
DE,de_v_mach_const,0.80,0.70,0.90,norm,0.80|0.07
DE,de_v_cas_const,152,133,170,norm,152|12
DE,de_h_mach_const,10.1,7.1,11.5,beta,5.1|2.3|3.7|8.4
DE,de_h_cas_const,5.4,2.7,8.8,beta,2.8|3.6|1.1|10.3
DE,de_vh_avg_mach_const,-6.80,-12.94,-2.85,beta,6.04|3.47|-20.67|20.67
DE,de_vh_avg_cas_const,-9.12,-13.20,-5.03,norm,-9.11|2.48
DE,de_vh_avg_after_cas,-5.59,-7.45,-3.72,norm,-5.59|1.13
FA,fa_va_avg,70,59,81,norm,70|7
FA,fa_vh_avg,-3.61,-4.21,-3.00,norm,-3.61|0.37
LD,ld_v_app,68.8,58.5,79.2,norm,68.9|7.2
LD,ld_d_brk,1.59,0.88,3.74,gamma,3.80|0.30|0.46
LD,ld_acc_brk,-1.08,-1.84,-0.49,beta,5.15|3.82|-2.65|2.63
