phase,param,opt,min,max,model,pm
TO,to_v_lof,88.1,71.0,105.2,norm,88.1|11.9
TO,to_d_tof,2.51,1.26,3.76,norm,2.51|0.76
TO,to_acc_tof,1.31,0.96,1.66,norm,1.31|0.21
IC,ic_va_avg,87,73,100,norm,87|9
IC,ic_vh_avg,5.72,4.36,9.00,gamma,5.52|2.95|0.61
CL,cl_d_range,299,201,439,beta,4|6|161|382
CL,cl_v_cas_const,167,151,183,norm,167|11
CL,cl_v_mach_const,0.83,0.74,0.92,norm,0.83|0.07
CL,cl_h_cas_const,5.1,2.4,7.6,beta,4.0|3.6|0.8|8.2
CL,cl_h_mach_const,7.7,5.8,9.5,norm,7.7|1.0
CL,cl_vh_avg_pre_cas,8.30,6.35,10.25,norm,8.30|1.18
CL,cl_vh_avg_cas_const,7.41,4.51,10.32,norm,7.41|1.77
CL,cl_vh_avg_mach_const,5.44,3.33,7.56,norm,5.45|1.29
CR,cr_d_range,4553,1191,17947,gamma,3|227|2073
CR,cr_v_cas_mean,139,127,152,norm,139|8
CR,cr_v_cas_max,160,140,181,norm,161|14
CR,cr_v_mach_mean,0.85,0.80,0.91,norm,0.85|0.04
CR,cr_v_mach_max,0.94,0.87,1.02,norm,0.94|0.05
CR,cr_h_mean,11.7,10.8,12.3,beta,12.8|5.8|8.7|4.2
CR,cr_h_max,12.1,11.4,12.7,beta,6.7|4.1|10.4|2.8
DE,de_d_range,313,241,502,gamma,5|204|23
DE,de_v_mach_const,0.82,0.72,0.92,norm,0.82|0.07
DE,de_v_cas_const,155,135,175,norm,155|13
DE,de_h_mach_const,10.0,7.2,11.5,beta,5.4|2.8|4.1|8.4
DE,de_h_cas_const,5.9,2.9,9.0,beta,2.8|2.8|1.2|9.4
DE,de_vh_avg_mach_const,-6.56,-11.98,-3.27,beta,6.08|3.30|-18.89|17.90
DE,de_vh_avg_cas_const,-8.21,-11.59,-4.82,norm,-8.20|2.06
DE,de_vh_avg_after_cas,-5.22,-6.77,-3.67,norm,-5.22|0.94
FA,fa_va_avg,71,59,82,norm,71|7
FA,fa_vh_avg,-3.67,-4.11,-2.96,gamma,17.34|-5.04|0.08
LD,ld_v_app,68.1,55.8,80.4,norm,68.1|8.5
LD,ld_d_brk,2.24,0.74,3.76,norm,2.25|0.92
LD,ld_acc_brk,-0.99,-1.47,-0.51,norm,-0.99|0.29
