# code,name,lat,lon,class,alt,country code
, ADOBE RANCH PRIVATE, 33.576, -107.9, Small, 3900, US/NM
, ADUSTINA, -10.581, -38.089, Small, 3610, BR
, ADVENTURES ALOFT, 38.873, -91.3, Small, 2075, US/MO
, AELERON, 30.404, -92.024, Small, 2000, US/LA
, AEREQUUS, 40.391, -75.014, Small, 3100, US/PA
, AERIE, 33.762, -83.653, Small, 2000, US/GA
, AERO ACRES, 27.342, -80.522, Small, 3150, US/FL
, AERO ACRES, 41.038, -88.338, Small, 3000, US/IL
, AERO BEAR FIELD, 39.198, -104.329, Small, 2150, US/CO
, AERO BRITTON, 39.129, -92.731, Small, 2500, US/MO
, AERO COUNTRY, 33.208, -96.742, Small, 4055, US/TX
, AERO ESTATES, 32.082, -95.453, Small, 3100, US/TX
, AERO ESTATES, 38.524, -90.057, Small, 2500, US/IL
, AERO ESTATES, 42.84, -88.064, Small, 3000, US/WI
, AERO FLIGHT CENTER, 40.859, -80.535, Small, 3000, US/OH
, AERO FOUR, 41.436, -88.249, Small, 1800, US/IL
, AERO LAKE ESTATES, 42.077, -88.625, Small, 2800, US/IL
, AERO LAKE FARM, 41.045, -81.937, Small, 2000, US/OH
, AERO PLAINES, 39.353, -87.373, Small, 2450, US/IN
, AERO PLANTATION, 34.992, -80.748, Small, 2400, US/NC
, AERO TECH INC, 34.416, -103.148, Small, 2640, US/NM
, AERO-BEE RANCH AIRSTRIP, 30.879, -98.417, Small, 2800, US/TX
, AERO-PLAIN, 45.411, -93.385, Small, 3000, US/MN
, AEROACRES, 45.317, -122.605, Small, 1800, US/OR
, AEROBATIC PRACTICE, 38.996, -85.748, Small, 2000, US/IN
, AEROCLUBE NOVA IGUACU, -22.745, -43.46, Small, 3937, BR
, AERODROMO NACIONAL DE AVIACAO, -16.625, -49.349, Small, 3680, BR
, AEROFLEX ANDOVER, 41.009, -74.738, Large, 1981, US/NJ
, AEROGRANGE, 42.269, -88.571, Small, 2000, US/IL
, AEROHEAD, 30.707, -88.429, Small, 2600, US/MS
, AEROLITE AERO PARK, 30.203, -92.812, Ultralight, 900, US/LA
, AERONUT PARK, 42.604, -83.859, Balloon, 900, US/MI
, AEROPORTO ESTADUAL ARTHUR SIQUEIRA, -22.979, -46.537, Small, 3937, BR
, AEROSTONE RANCH, 45.875, -120.67, Small, 2000, US/WA
, AEROVILLA, 46.617, -95.65, Small, 3000, US/MN
, AFTON MUNI, 42.711, -110.942, Small, 7023, US/WY
, AG AIR, 41.596, -102.817, Small, 2000, US/NE
, AG AVIATION, 29.054, -95.962, Small, 2977, US/TX
, AG AVIATION, 30.221, -92.775, Small, 2600, US/LA
, AG SPRAY INC, 46.577, -96.512, Small, 3000, US/MN
, AG-ALLEY, 43.161, -77.177, Small, 3100, US/NY
, AGEDABIA, 30.765, 20.191, Small, 3360, LY
, AGNER, 41.07, -84.086, Small, 2500, US/OH
, AGRICULTURAL SUPPLIES, 28.929, -99.08, Small, 2100, US/TX
, AGRO WEST, 36.336, -120.247, Small, 3000, US/CA
, AGUA CALIENTE, 32.956, -116.294, Small, 2500, US/CA
, AGUA DULCE AIRPARK, 34.504, -118.313, Small, 4020, US/CA
, AGUA PRIETA SOUTH, 31.252, -109.608, Small, 4950, MX
, AGUA PRIETA SOUTHWEST, 31.243, -109.625, Small, 3488, MX
, AGUALEGUAS OLD, 26.304, -99.55, Small, 3400, MX
, AHA-QUIN, 33.869, -114.527, Small, 2250, US/CA
, AHLEM FARMS, 37.388, -120.927, Small, 2617, US/CA
, AHLERS ACRES, 38.832, -90.951, Small, 900, US/MO
, AIKEN FIELD, 34.172, -83.731, Small, 1000, US/GA
, AIKEN MUNI, 33.649, -81.685, Large, 5500, US/SC
, AINSWORTH, 30.313, -95.027, Small, 2500, US/TX
, AINSWORTH MUNI, 42.579, -99.993, Large, 6824, US/NE
, AIR ACRES, 34.106, -84.449, Small, 2000, US/GA
, AIR CASTLE, 38.118, -84.302, Small, 1300, US/KY
, AIR DUSTERS INC, 40.093, -104.375, Small, 2640, US/CO
, AIR ESTATES INC, 42.281, -88.095, Small, 2000, US/IL
, AIR HARBOR, 36.174, -79.803, Small, 2460, US/NC
, AIR HAVEN, 41.35, -75.483, Small, 1600, US/PA
, AIR JORDAN, 39.561, -84.052, Small, 1400, US/OH
, AIR PARK DALLAS, 33.023, -96.837, Small, 3080, US/TX
, AIR PARK FIELD, 41.128, -84.947, Small, 2440, US/IN
, AIR PARK SOUTH, 37.059, -93.234, Small, 2528, US/MO
, AIR RAHE, 41.831, -83.687, Small, 2300, US/MI
, AIR RANCH ESTATES, 32.325, -96.948, Small, 3800, US/TX
, AIR SAILING, 39.872, -119.701, Small, 7000, US/NV
, AIR TROY ESTATES - RESTRICTED, 42.8, -88.333, Small, 1750, US/WI
, AIR VILLAGE STRIP, 40.425, -109.592, Small, 3960, US/UT
, AIR-SPRAYERS NR 2, 38.1, -102.217, Small, 3500, US/CO
, AIRBATCO FIELD, 42.774, -84.9, Small, 2033, US/MI
, AIRBORN PARAFLITE, 43.307, -84.646, Ultralight, 1400, US/MI
, AIRBORNE AIRPARK, 39.428, -83.792, Large, 10701, US/OH
, AIRDRIE, 51.264, -113.934, Small, 5000, CA
, AIRE PARQUE, 38.123, -90.389, Small, 2225, US/MO
, AIRGLADES, 26.742, -81.05, Small, 5950, US/FL
, AIRHAVEN, 41.833, -73.876, Small, 1745, US/NY
, AIRLAKE, 44.628, -93.228, Large, 4098, US/MN
, AIRLANE ENTERPRISES, 43.205, -76.179, Small, 2220, US/NY
, AIRLIE, 38.758, -77.787, Small, 3250, US/VA
, AIRMAN ACRES, 36.333, -95.884, Small, 2650, US/OK
, AIRNAUTIQUE  INC., 34.378, -82.946, Small, 2600, US/GA
, AIRPARK EAST, 32.814, -96.352, Small, 2630, US/TX
, AIRPARK ESTATES, 37.676, -96.885, Small, 2340, US/KS
, AIRPARK PVT, 39.301, -91.452, Small, 2600, US/MO
, AIRPORT MANATEE, 27.642, -82.52, Small, 3405, US/FL
, AIRSCREW PERFORMANCE FLIGHTPARK, 33.53, -112.217, Ultralight, 375, US/AZ
, AIRTREK, 42.85, -76.85, Small, 2275, US/NY
, AIRWAY, 64.773, -147.334, Small, 2550, US/AK
, AIRWOLFE, 44.5, -92.199, Small, 3000, US/WI
, AIRY HALL, 32.632, -80.504, Small, 3100, US/SC
, AIRY-ACRES, 42.644, -76.73, Small, 1600, US/NY
, AITKIN MUNI STEVE KURTZ FLD, 46.548, -93.677, Small, 4018, US/MN
, AJ EISENBERG, 48.252, -122.674, Small, 3265, US/WA
, AJAOKUTA, 7.457, 6.461, Small, 4983, NI
, AJAX, 45.383, -120.468, Small, 2500, US/OR
, AK CHIN COMMUNITY AIRFIELD, 32.986, -112.026, Small, 2950, US/AZ
, AKBARPUR, 26.448, 82.568, Small, 4260, IN
, AKHIOK, 56.939, -154.183, Small, 3120, US/AK
, AKIACHAK, 60.905, -161.422, Small, 1649, US/AK
, AKIAK, 60.903, -161.231, Small, 3196, US/AK
, AKIENI, -1.129, 13.921, Small, 6890, GB
, AKIN, 38.754, -120.899, Small, 1800, US/CA
, AKIN AND AKIN, 34.772, -103.856, Small, 2640, US/NM
, AKM AIRFIELD, 41.842, -76.746, Small, 2100, US/PA
, AKNUX, 40.709, -98.56, Small, 3545, US/NE
, AKRON, 43.021, -78.483, Small, 3270, US/NY
, AKROVILLE, 33.392, -97.355, Small, 3100, US/TX
, AL AL, 32.787, 35.718, Small, 4275, SY
, AL ANAD, 13.175, 44.765, Medium, 9250, YM
, AL ARTAWIYAH SOUTH, 26.612, 45.322, Small, 6900, SA
, AL BUMBAH NORTH, 32.453, 23.119, Medium, 11155, LY
, AL DIVINE, 36.514, -119.764, Small, 2400, US/CA
, AL HAMADA CON 66 EAST, 29.531, 12.944, Small, 7767, LY
, AL ISMAILIYAH, 30.599, 32.235, Small, 10555, EG
, AL JUFRA, 29.198, 16.001, Small, 13079, LY
, AL KHADIM, 31.999, 21.192, Small, 11838, LY
, AL KHARJ EAST, 24.052, 47.654, Small, 4245, SA
, AL KHUWAYMAT, 27.257, 21.618, Small, 11811, LY
, AL LIDEM, 20.476, 44.758, Small, 5365, SA
, AL MANSURAH, 30.968, 31.434, Small, 9084, EG
, AL MARJ, 32.525, 20.875, Small, 4275, LY
, AL QUSAYR, 34.569, 36.573, Medium, 10000, SY
, AL SAQR, 25.755, 55.96, Small, 2625, AE
, AL WIGH, 24.186, 14.533, Small, 11975, LY
, "ALS AIRWAY", 43.163, -88.825, Small, 1550, US/WI
, "ALS DUE NORTH", 45.482, -92.989, Small, 3100, US/MN
, "ALS FIELD", 39.291, -78.351, Small, 1500, US/VA
, ALAGOINHAS, -12.175, -38.38, Small, 5180, BR
, ALAKANUK, 62.68, -164.66, Small, 2200, US/AK
, ALAMO LANDING FIELD, 37.362, -115.194, Small, 5000, US/NV
, ALAMO NAVAJO, 34.363, -107.496, Small, 3650, US/NM
, ALAMOS, 27.036, -108.948, Small, 3947, MX
, ALAN B. JANSSEN, 39.344, -89.424, Small, 1980, US/IL
, "ALANS", 33.676, -80.95, Small, 2600, US/SC
, ALASKA AIRPARK, 60.529, -150.625, Small, 1750, US/AK
, ALBA ELENA, -2.167, -79.283, Small, 3281, EC
, ALBA VINEYARD, 40.616, -75.164, Balloon, 220, US/NJ
, ALBANY, 42.718, -89.424, Small, 2000, US/WI
, ALBANY MUNI, 32.719, -99.268, Small, 3700, US/TX
, ALBANY MUNI, 40.262, -94.339, Small, 3300, US/MO
, ALBANY MUNI, 44.638, -123.059, Large, 3004, US/OR
, ALBERS, 37.658, -97.774, Small, 2623, US/KS
, ALBERT, 40.972, -78.243, Small, 3350, US/PA
, ALBERT FARMS, 42.39, -72.931, Small, 2800, US/MA
, ALBERT J ELLIS, 34.829, -77.612, Large, 7100, US/NC
, ALBERT J LINDBERG, 46.036, -84.42, Small, 3700, US/MI
, ALBERT LEA MUNI, 43.682, -93.367, Large, 4501, US/MN
, ALBERT WHITTED, 27.765, -82.627, Large, 3414, US/FL
, ALBERTA, 38.397, -84.464, Ultralight, 700, US/KY
, ALBERTER FARMS, 40.195, -78.833, Small, 2600, US/PA
, ALBERTUS, 42.246, -89.582, Large, 5504, US/IL
, ALBERTVILLE MUNI THOMAS J BRUMLIK FLD, 34.229, -86.256, Large, 6116, US/AL
, ALBIA MUNI, 40.994, -92.763, Small, 3400, US/IA
, ALBION MUNI, 41.729, -98.056, Small, 3700, US/NE
, ALBION MUNI, 42.398, -113.558, Small, 4500, US/ID
, ALBRECHT AIRSTRIP, 39.473, -76.5, Small, 2100, US/MD
, ALBRIGHT, 38.698, -94.719, Small, 1700, US/KS
, ALBRITTON, 47.216, -122.133, Small, 2000, US/WA
, ALBUQUERQUE INTL SUNPORT, 35.04, -106.609, Small, 13793, US/NM
, ALCOCK RLA, 42.069, -89.033, Small, 1600, US/IL
, ALCORN STATE UNIVERSITY, 31.869, -91.135, Small, 2750, US/MS
, ALCOVY, 33.675, -83.763, Small, 1700, US/GA
, ALDERMAN, 40.057, -80.963, Small, 2843, US/OH
, ALDERSON, 39.035, -97.58, Small, 2700, US/KS
, ALEGRETE NOVO, -29.813, -55.893, Small, 3937, BR
, ALEKNAGIK /NEW, 59.283, -158.618, Small, 2040, US/AK
, ALEKNAGIK MISSION LODGE, 59.281, -158.597, Small, 1200, US/AK
, ALERT FLD, 32.585, -95.064, Small, 5093, US/TX
, ALEXANDER COUNTY, 35.851, -81.144, Small, 2700, US/NC
, ALEXANDER FARM, 42.581, -73.616, Small, 3380, US/NY
, ALEXANDER FLD SOUTH WOOD CO, 44.36, -89.839, Large, 5500, US/WI
, ALEXANDER MUNI, 34.645, -106.834, Large, 6601, US/NM
, ALEXANDER RANCH, 30.272, -98.117, Small, 2200, US/TX
, ALEXANDER SALAMON, 38.851, -83.566, Large, 3762, US/OH
, ALEXANDRIA, 40.233, -85.638, Small, 2591, US/IN
, ALEXANDRIA, 40.588, -75.019, Small, 2550, US/NJ
, ALFENAS, -21.431, -45.932, Small, 5249, BR
, ALFORD AIRPARK, 38.464, -87.25, Small, 2400, US/IN
, ALFRED SCHROEDER FLD, 38.343, -97.214, Small, 3229, US/KS
, ALGE, 40.905, -83.645, Small, 1000, US/OH
, ALGONA MUNI, 43.078, -94.272, Large, 3960, US/IA
, ALISON AIR PARK, 29.831, -97.889, Small, 1300, US/TX
, ALKALI LAKE STATE, 43.087, -119.976, Small, 6100, US/OR
, ALL WEST, 63.941, -145.422, Small, 5500, US/AK
, ALLAKAKET, 66.552, -152.622, Small, 4000, US/AK
, ALLEN, 41.373, -80.669, Small, 2700, US/OH
, ALLEN, 41.668, -80.686, Small, 2600, US/OH
, ALLEN AIRSTRIP, 39.941, -74.771, Small, 1965, US/NJ
, ALLEN AND GLOSS, 38.857, -85.101, Small, 1800, US/IN
, ALLEN C PERKINSON BLACKSTONE AAF, 37.074, -77.958, Medium, 4632, US/VA
, ALLEN CO, 37.87, -95.386, Large, 4100, US/KS
, ALLEN H TIGERT, 42.642, -111.58, Small, 3500, US/ID
, ALLEN PARISH, 30.75, -92.688, Small, 4993, US/LA
, ALLEN ST PETER MEMORIAL, 46.75, -68.471, Small, 1700, US/ME
, "ALLENS AIRSTRIP", 42.405, -121.049, Small, 2600, US/OR
, "ALLENS POND", 41.511, -71.028, Small, 1550, US/MA
, ALLENDALE CO, 32.995, -81.27, Large, 5005, US/SC
, ALLENHOLM, 44.634, -73.307, Small, 2000, US/VT
, ALLENTOWN QUEEN CITY MUNI, 40.57, -75.488, Small, 3949, US/PA
, ALLEY FIELD, 37.514, -97.0, Small, 1200, US/KS
, ALLEY OOP, 41.121, -86.998, Small, 1200, US/IN
, ALLIANCE, 39.505, -75.093, Small, 860, US/NJ
, ALLIANCE, 40.906, -81.065, Small, 2300, US/OH
, ALLIANCE MUNI, 42.053, -102.804, Large, 9202, US/NE
, ALLISON FARM, 33.242, -97.428, Small, 3000, US/TX
, ALLISON MUNI, 42.764, -92.804, Small, 1790, US/IA
, ALLISON RANCH, 30.45, -102.927, Small, 4500, US/TX
, ALLISON RANCH, 30.531, -100.451, Small, 2700, US/TX
, ALLOWAY AIRFIELD, 39.542, -75.304, Small, 2200, US/NJ
, ALMA MUNI, 40.114, -99.346, Small, 3280, US/NE
, ALMENA, 42.253, -85.85, Small, 3300, US/MI
, ALMENARA, -16.166, -40.684, Small, 3937, BR
, ALMYRA MUNI, 34.412, -91.466, Small, 3496, US/AR
, ALPHA HOTEL, 36.82, -78.783, Small, 1600, US/VA
, ALPHA HOTEL, 45.948, -92.109, Small, 1500, US/WI
, ALPINE, 43.185, -111.042, Small, 5625, US/WY
, ALPINE AIRSTRIP, 70.344, -150.945, Small, 5000, US/AK
, ALPINE CASPARIS MUNI, 30.384, -103.684, Large, 6003, US/TX
, ALPINE CO, 38.735, -119.767, Small, 4443, US/CA
, ALPINE RANGE, 32.608, -97.242, Small, 1200, US/TX
, ALSEK RIVER, 59.199, -138.451, Small, 1860, US/AK
, ALTA SIERRA, 39.114, -121.057, Small, 3000, US/CA
, ALTA VISTA RANCH, 30.148, -103.893, Small, 5200, US/TX
, ALTEMOSE, 40.093, -75.516, Ultralight, 500, US/PA
, ALTO PARAISO, -14.121, -47.531, Small, 4023, BR
, ALTON FIELD, 32.03, -90.101, Small, 2240, US/MS
, ALTONA MUNI, 49.094, -97.534, Small, 3248, CA
, ALTURAS MUNI, 41.483, -120.565, Large, 4301, US/CA
, ALTUS QUARTZ MOUNTAIN RGNL, 34.696, -99.34, Large, 5501, US/OK
, ALUM RIDGE, 36.977, -80.494, STOL, 1100, US/VA
, ALVA RGNL, 36.773, -98.67, Large, 4386, US/OK
, ALVARO BERROA, 8.77, -82.664, Small, 6562, PM
, ALVIE COLE RANCH, 31.644, -100.97, Small, 3000, US/TX
, ALVIN AIRPARK, 29.416, -95.289, Small, 1500, US/TX
, AMACHER STRIP, 35.306, -86.237, Small, 2000, US/TN
, AMAL V12, 29.48, 21.122, Small, 5700, LY
, AMANA, 41.794, -91.865, Small, 2600, US/IA
, AMANDA, 39.635, -82.738, Small, 2300, US/OH
, AMAR FARMS, 38.685, -95.033, Small, 2600, US/KS
, AMARAIS, -22.859, -47.108, Small, 3946, BR
, AMARGOSA, -12.994, -39.64, Small, 3609, BR
, AMARGOSA, 36.296, -116.426, Small, 1625, US/CA
, AMBASSADOR, 35.87, -96.035, Ultralight, 1000, US/OK
, AMBLE - TIGER NORTH FARMS, 48.901, -99.017, Small, 2550, US/ND
, AMBLER - CADY, 41.544, -88.993, Small, 2000, US/IL
, AMBROSICH FIELD, 39.218, -104.68, Small, 2500, US/CO
, AMEDEE AAF, 40.266, -120.153, Small, 7167, US/CA
, AMELIA EARHART, 39.571, -95.18, Large, 3000, US/KS
, AMERICAN CREEK, 65.102, -151.177, Small, 1800, US/AK
, AMERICAN FALLS, 42.797, -112.825, Small, 4900, US/ID
, AMERICANA, -22.756, -47.269, Small, 3609, BR
, AMERY MUNI, 45.281, -92.375, Large, 4001, US/WI
, AMES, 44.772, -122.969, Small, 1800, US/OR
, AMES FIELD, 29.588, -82.871, Small, 2600, US/FL
, AMES FIELD, 41.381, -86.223, Small, 2200, US/IN
, AMES MUNI, 41.992, -93.622, Small, 5700, US/IA
, AMES PRIVATE, 42.651, -88.746, Small, 1800, US/WI
