# code,name,lat,lon,class,alt,country code 
, HACKENBURG-PENNY HILL, 41.15, -76.9, Small, 2273, US/PA
, HACKETTSTOWN, 40.82, -74.855, Small, 2200, US/NJ
, HACKNEY AIRPARK, 47.957, -116.677, Small, 3500, US/ID
, HADDOCK FIELD, 35.2, -99.898, Small, 2650, US/OK
, HADLEY, 38.694, -117.147, Small, 6776, US/NV
, HADLEY, 42.393, -72.552, Small, 1600, US/MA
, HAFAR AL ATK, 25.993, 46.537, Small, 7315, SA
, HAFFNER, 39.878, -86.528, Small, 1250, US/IN
, HAGEN, 46.503, -95.62, Small, 1320, US/MN
, HAGEN PRIVATE, 46.208, -102.908, Small, 2120, US/ND
, HAGENS PRIVATE, 48.379, -95.812, Small, 3000, US/MN
, HAGER STRIP, 46.266, -97.016, Small, 2600, US/ND
, HAGERSTOWN, 39.889, -85.163, Small, 4000, US/IN
, HAGGERTY, 45.619, -111.092, Small, 2600, US/MT
, HAGLER AAF, 31.174, -89.191, Small, 5000, US/MS
, HAHN SKY RANCH, 43.466, -88.291, Small, 2900, US/WI
, HAHNS, 28.949, -96.55, Small, 2700, US/TX
, HAIGH, 42.613, -83.854, Small, 1800, US/MI
, HAIGH FLD, 39.721, -122.147, Large, 4500, US/CA
, HAIGWOOD LANDING STRIP, 35.611, -91.241, Small, 1300, US/AR
, HAIKU AIRSTRIP, 21.942, -159.44, Small, 2400, US/HI
, HAINS AIRSTRIP, 30.179, -92.285, Small, 2100, US/LA
, HAIPHONG KIEN AN, 20.803, 106.605, Small, 8200, VM
, HAIRE, 33.342, -97.309, Small, 2150, US/TX
, HAL JOY AIRFIELD, 41.51, -80.591, Small, 2400, US/OH
, HALE CO, 34.168, -101.717, Large, 5997, US/TX
, HALE FIELD, 34.343, -89.143, Small, 2100, US/MS
, HALES 700, 27.361, -80.571, Small, 4000, US/FL
, HALES LANDING, 39.117, -81.392, Small, 3100, US/WV
, HALF MOON BAY, 37.513, -122.501, Large, 4237, US/CA
, HALIFAX CO, 36.439, -77.709, Large, 4006, US/NC
, HALIFAX-NORTHAMPTON COUNTY REGIONAL, 36.33, -77.635, Small, 5500, US/NC
, HALKA NURSERIES, 39.366, -75.268, Small, 2400, US/NJ
, HALL, 32.514, -96.237, Small, 2585, US/TX
, HALL, 32.828, -94.719, Small, 2040, US/TX
, HALL, 44.661, -93.1, Small, 2600, US/MN
, HALL FARMS, 39.23, -101.983, Small, 2640, US/KS
, HALL FIELD, 34.896, -79.043, Small, 2000, US/NC
, HALL MILLER MUNI, 33.102, -94.195, Small, 3800, US/TX
, HALL-FELD, 40.991, -96.62, Small, 1700, US/NE
, HALLELUJAH FIELD, 39.203, -84.105, Small, 1875, US/OH
, HALLER AIRPARK, 29.903, -81.686, Small, 2600, US/FL
, "HALLETTS", 40.911, -75.165, Small, 1600, US/PA
, HALLETTSVILLE MUNI, 29.39, -96.956, Small, 3210, US/TX
, HALLIBURTON FLD, 34.471, -97.96, Large, 6650, US/OK
, HALLOCK MUNI, 48.753, -96.943, Small, 4007, US/MN
, HALLS FLYING RANCH, 33.356, -84.367, Small, 2150, US/GA
, HALSTEAD, 38.031, -97.509, Small, 2640, US/KS
, HAM-A-LOT FIELD, 41.833, -83.683, Small, 2400, US/MI
, HAMAGUIR, 30.879, -3.068, Small, 9843, AG
, HAMAH, 35.118, 36.711, Small, 9130, SY
, HAMBURG INC, 42.701, -78.915, Small, 2465, US/NY
, HAMILTON AIRCRAFT  INC, 32.732, -102.944, Small, 3700, US/TX
, HAMILTON FORT RANCH, 37.635, -113.159, Small, 4100, US/UT
, HAMILTON HILL, 40.428, -78.741, Small, 1800, US/PA
, HAMILTON MUNI, 31.666, -98.149, Large, 5000, US/TX
, HAMILTON MUNI, 42.843, -75.561, Small, 5314, US/NY
, HAMILTON RANCH, 27.553, -98.732, Small, 3000, US/TX
, HAMLIN MUNI, 32.85, -100.138, Small, 3200, US/TX
, HAMMARS FARM, 47.283, -96.617, Small, 2500, US/MN
, HAMMER, 41.978, -89.56, Small, 2500, US/IL
, HAMMER FIELD, 36.431, -93.699, Small, 2100, US/AR
, HAMMOCK FIELD, 38.914, -89.67, Small, 2420, US/IL
, HAMMOND, 39.78, -83.909, Small, 1600, US/OH
, HAMMOND, 40.913, -81.26, Small, 2400, US/OH
, HAMMOND NORTHSHORE RGNL, 30.522, -90.418, Large, 6502, US/LA
, HAMMONTON MUNI, 39.667, -74.758, Large, 3602, US/NJ
, HAMP, 43.399, -84.801, Small, 2580, US/MI
, HAMPTON, 38.231, -76.629, Small, 2500, US/MD
, HAMPTON AIRFIELD, 42.963, -70.829, Small, 2100, US/NH
, HAMPTON FIELD, 39.729, -86.823, Small, 2400, US/IN
, HAMPTON MUNI, 33.523, -92.46, Small, 4326, US/AR
, HAMPTON MUNI, 42.724, -93.226, Large, 4018, US/IA
, HAMPTON ROADS EXECUTIVE, 36.78, -76.449, Small, 4056, US/VA
, HAMPTON VARNVILLE, 32.868, -81.083, Small, 3580, US/SC
, HAMRICK, 40.693, -84.781, Small, 2600, US/OH
, HAMRY FIELD, 46.649, -96.999, Small, 3300, US/ND
, HANAMAULU AIRSTRIP, 22.041, -159.39, Small, 1600, US/HI
, HANCOCK, 32.23, -96.26, Small, 3200, US/TX
, HANCOCK, 39.182, -94.87, Small, 1400, US/KS
, HANCOCK, 41.853, -86.436, Small, 2000, US/MI
, HANCOCK CO BAR HARBOR, 44.45, -68.362, Small, 5200, US/ME
, HANCOCK CO-RON LEWIS FIELD, 37.953, -86.857, Small, 4000, US/KY
, HANDLEMAN SKY RANCH, 42.853, -83.228, Small, 2550, US/MI
, HANDY STRIP, 37.447, -76.454, Small, 1000, US/VA
, HANEL FIELD, 45.593, -121.549, Small, 1900, US/OR
, HANES, 47.492, -118.251, Small, 2000, US/WA
, HANFORD MUNI, 36.317, -119.628, Large, 5175, US/CA
, HANGAR FLY ULTRALIGHT FLY CLUB, 39.853, -85.954, Ultralight, 1320, US/IN
, HANGAR HACIENDAS, 33.353, -112.127, Small, 2700, US/AZ
, HANGMAN CREEK RANCH, 47.107, -116.811, Small, 2100, US/ID
, HANKINS, 33.975, -97.089, Small, 2200, US/OK
, HANKSVILLE, 38.418, -110.704, Small, 5075, US/UT
, HANLEY FIELD, 46.354, -86.621, Small, 4000, US/MI
, HANNA, 51.631, -111.904, Small, 3535, CA
, HANNAH, 40.106, -94.743, Small, 2200, US/MO
, HANNAH RHEA FIELD, 32.901, -80.854, Small, 1800, US/SC
, HANNEN, 42.228, -91.751, Small, 1280, US/IA
, HANNIBAL RGNL, 39.724, -91.444, Small, 4400, US/MO
, HANNY BEAVER AIRPARK INC, 40.542, -80.453, Small, 2719, US/PA
, HANOVER, 39.793, -77.025, Small, 2550, US/PA
, HANOVER CO MUNI, 37.709, -77.437, Small, 5400, US/VA
, HANSEN, 34.63, -117.653, Small, 5875, US/CA
, HANSHELL FLYING APPLE, 39.581, -83.651, Small, 2000, US/OH
, HANSON, 48.041, -114.679, Small, 2400, US/MT
, HAPPY BOTTOM, 36.049, -80.457, Small, 2700, US/NC
, HAPPY CAMP, 41.791, -123.389, Small, 3000, US/CA
, HAPPY CANYON, 38.157, -110.292, Small, 2065, US/UT
, HAPPY JACKS AIR STRIP, 44.0, -88.833, Small, 1200, US/WI
, HAPPY LANDINGS, 29.505, -95.9, Small, 4400, US/TX
, HAPPY LANDINGS FARM, 39.458, -77.148, Small, 2500, US/MD
, HAPPY MOUNTAIN, 34.061, -108.096, Small, 3700, US/NM
, HAPPY VALLEY, 45.448, -122.5, Small, 2264, US/OR
, HARBOR SPRINGS, 45.426, -84.913, Large, 3712, US/MI
, HARBORD FIELD, 48.122, -123.088, Small, 3000, US/WA
, HARBOUR, 38.27, -92.811, Small, 2545, US/MO
, HARCHENKO INDUSTRIAL, 45.078, -122.929, Small, 2290, US/OR
, HARDIN, 38.564, -86.057, Small, 2000, US/IN
, HARDIN CO, 40.611, -83.644, Large, 4201, US/OH
, HARDING COUNTY, 45.581, -103.53, Small, 3900, US/SD
, HARDISTY, 52.647, -111.384, Small, 3000, CA
, HARDROCK FIELD, 64.909, -147.914, Small, 1600, US/AK
, HARDWICK FLD, 35.22, -84.832, Large, 3300, US/TN
, HARDY, 39.726, -89.264, Small, 2000, US/IL
, HARDY ANDERS FLD NATCHEZ ADAMS CO, 31.614, -91.297, Large, 6500, US/MS
, HARDY FIELD, 33.474, -97.169, Small, 2500, US/TX
, HARDY RANCH, 43.325, -105.676, Small, 4000, US/WY
, HARFORD CO, 39.567, -76.202, Small, 2000, US/MD
, HARFORD FIELD, 42.924, -106.309, Small, 3810, US/WY
, HARIHAR, 14.535, 75.787, Small, 4893, IN
, HARJU, 44.021, -89.079, Small, 1800, US/WI
, HARLAN AIRFIELD, 41.203, -82.115, Small, 2670, US/OH
, HARLAN MUNI, 41.584, -95.34, Large, 4100, US/IA
, HARLEM, 48.566, -108.773, Small, 4100, US/MT
, HARLEQUIN LAKE, 59.414, -139.025, Small, 2000, US/AK
, HARLEY, 37.951, -121.243, Small, 1700, US/CA
, HARLEY WHITE FIELD, 31.861, -98.259, Small, 1750, US/TX
, HARMAN, 33.484, -81.826, Small, 1500, US/SC
, HARMAN, 35.584, -98.04, Small, 2500, US/OK
, HARMAN, 40.522, -76.846, Small, 1900, US/PA
, HARMONY, 40.739, -75.138, Balloon, 200, US/NJ
, HARMONY FIELD, 29.296, -98.379, Small, 1700, US/TX
, HARMS AIRSTRIP, 41.577, -89.794, Small, 2200, US/IL
, HARNETT COUNTY, 35.38, -78.732, Small, 4999, US/NC
, HAROLD BUNGER, 42.067, -88.833, Small, 2000, US/IL
, HAROLD DAVIDSON FLD, 42.765, -96.934, Large, 4105, US/SD
, HAROLD K. WELLS, 38.387, -96.73, Small, 2600, US/KS
, HAROLD KRIER FLD, 37.167, -99.775, Small, 3200, US/KS
, HAROLD NOLF, 30.681, -86.887, Small, 5000, US/FL
, HAROLD REYNOLDS, 37.89, -84.928, Small, 1400, US/KY
, HARP, 39.597, -77.547, Small, 1400, US/MD
, HARPER, 32.428, -96.717, Small, 2000, US/TX
, HARPER MUNI, 37.278, -98.043, Small, 3268, US/KS
, HARPER RIDGE, 41.414, -81.453, Small, 2450, US/OH
, "HARPERS FLY-IN RANCH", 26.731, -81.164, Small, 2300, US/FL
, HARPERS, 32.759, -81.225, Small, 3600, US/SC
, HARRAH, 46.408, -120.635, Small, 2650, US/WA
, HARRELL FIELD, 32.474, -89.852, Small, 1500, US/MS
, HARRELL FLD, 33.623, -92.763, Small, 6501, US/AR
, HARRIET ALEXANDER FLD, 38.538, -106.049, Small, 7347, US/CO
, HARRIMAN AND WEST, 42.696, -73.17, Large, 3500, US/MA
, HARRINGTON FARMS, 41.559, -88.665, Small, 1900, US/IL
, HARRINGTON FIELD, 41.183, -86.934, Small, 2600, US/IN
, HARRINGTON FLYING SERVICE, 29.92, -92.247, Small, 1200, US/LA
, HARRINGTON RANCH, 39.63, -104.519, Small, 3500, US/CO
, HARRIS, 39.078, -89.082, Small, 1600, US/IL
, HARRIS, 39.333, -76.083, Small, 1800, US/MD
, HARRIS, 39.82, -75.926, Small, 1500, US/PA
, HARRIS, 43.5, -73.067, Small, 2400, US/NY
, HARRIS, 46.515, -122.792, Small, 2100, US/WA
, HARRIS, 47.448, -117.806, Small, 2500, US/WA
, HARRIS CO, 32.841, -84.882, Small, 5002, US/GA
, HARRIS CORN FIELD, 41.173, -82.059, Small, 1800, US/OH
, HARRIS FIELD, 43.236, -93.208, Small, 3250, US/IA
, HARRIS HILL, 42.121, -76.901, Small, 1115, US/NY
, HARRIS RANCH, 30.22, -98.303, Small, 4400, US/TX
, HARRIS RANCH, 36.248, -120.238, Small, 2820, US/CA
, HARRIS RIVER RANCH, 36.767, -119.436, Small, 3018, US/CA
, HARRISBURG RALEIGH, 37.811, -88.55, Large, 5013, US/IL
, HARRISON, 40.077, -92.32, Small, 2000, US/MO
, HARRISON CO, 32.52, -94.308, Large, 5000, US/TX
, HARRISON CO, 40.238, -81.013, Large, 3933, US/OH
, HARRISON FARM, 32.039, -95.083, Small, 2300, US/TX
, HARRISON FARM, 39.498, -77.222, Small, 2000, US/MD
, HARRISON FLD OF KNOX CITY, 33.438, -99.813, Small, 3200, US/TX
, HARRISON PILONCILLO RANCH, 28.254, -99.599, Small, 5000, US/TX
, HARRISON PVT, 37.853, -91.647, Small, 2750, US/MO
, HARRISVILLE, 44.668, -83.305, Small, 2140, US/MI
, HARROD, 38.561, -95.208, Small, 2640, US/KS
, HARROD/ROSE, 38.718, -85.76, Small, 1800, US/IN
, HARROLD, 41.476, -84.906, Small, 2920, US/IN
, HARROLD MUNI, 44.531, -99.747, Small, 2250, US/SD
, HARRY CLEVER FLD, 40.471, -81.42, Large, 3950, US/OH
, HARRY D FENTON, 42.475, -89.089, Small, 2100, US/IL
, HARRY P WILLIAMS MEM, 29.71, -91.339, Large, 5399, US/LA
, HARRY S TRUMAN RGNL, 39.02, -94.087, Small, 4400, US/MO
, HARRY STERN, 46.244, -96.607, Small, 5100, US/ND
, "HARRYS FIELD", 42.876, -85.956, Small, 2400, US/MI
, HARRY-WALT, 45.352, -93.246, Small, 2000, US/MN
, HARSENS ISLAND, 42.589, -82.576, Small, 2225, US/MI
, HART, 30.946, -85.274, Small, 2500, US/FL
, HART, 31.545, -93.486, Small, 4000, US/LA
, HART, 43.033, -74.151, Small, 1800, US/NY
, HART AERIAL, 34.37, -102.084, Small, 2800, US/TX
, HART MINE, 35.283, -115.192, Small, 3000, US/CA
, HART RANCH, 48.577, -119.065, Small, 2600, US/WA
, HARTENBOWER HECTARES, 41.181, -89.147, Small, 2413, US/IL
, HARTFORD MUNI, 43.349, -88.391, Large, 3001, US/WI
, HARTINGTON MUNI, 42.604, -97.253, Small, 3950, US/NE
, HARTLAND, 38.659, -95.092, Small, 2600, US/KS
, HARTLEE FIELD, 33.268, -97.071, Small, 2200, US/TX
, HARTLEY, 46.62, -122.965, Small, 800, US/WA
, HARTMAN, 39.86, -78.989, Small, 2590, US/PA
, HARTMAN FARMS FIELD, 40.521, -86.215, Small, 2300, US/IN
, HARTNESS, 34.847, -82.252, Small, 1740, US/SC
, HARTNESS STATE, 43.344, -72.517, Small, 5498, US/VT
, HARTSVILLE RGNL, 34.403, -80.119, Large, 5000, US/SC
, HARTUNG, 40.652, -75.186, Small, 2000, US/NJ
, HARTWELL RANCH RLA, 39.445, -90.562, Small, 3200, US/IL
, HARTWOOD, 38.485, -77.613, Small, 2470, US/VA
, HARTZOG FIELD, 30.719, -85.607, Small, 1400, US/FL
, HARVARD, 34.962, -116.675, Small, 2640, US/CA
, HARVARD STATE, 40.651, -98.08, Small, 3745, US/NE
, HARVEY, 39.213, -90.917, Small, 1500, US/MO
, HARVEY FIELD, 47.905, -122.103, Small, 2671, US/WA
, HARVEY MUNI, 47.791, -99.932, Small, 3600, US/ND
, HARVEY POINT DEFENSE TESTING ACTIVITY, 36.096, -76.327, Small, 5291, US/NC
, HARVEY YOUNG, 36.139, -95.825, Small, 2580, US/OK
, "HARVEYS ACRES", 45.442, -122.893, Small, 2100, US/OR
, HARVS, 43.101, -77.368, Small, 2600, US/NY
, HASHBARGER FARM AIRSTRIP, 47.328, -97.679, Small, 2500, US/ND
, HASHIMARA, 26.698, 89.369, Medium, 9000, IN
, HASKELL, 35.833, -95.667, Small, 3710, US/OK
, HASKELL MUNI, 33.191, -99.718, Small, 3420, US/TX
, HASSELBRING, 40.41, -88.065, Small, 1885, US/IL
, HASSELL FIELD, 35.385, -87.968, Small, 4600, US/TN
, HASSKAMP, 45.91, -111.514, STOL, 1225, US/MT
, HASTING AIRPARK, 33.995, -89.313, Small, 3200, US/MS
, HASTINGS, 42.664, -85.346, Large, 3900, US/MI
, HASTINGS MUNI, 40.605, -98.428, Large, 6451, US/NE
, HAT FIELD, 43.097, -86.095, Small, 3600, US/MI
, HAT-FIELD, 40.51, -105.001, STOL, 610, US/CO
, HATAWAY FIELD, 31.25, -86.167, Small, 1320, US/AL
, HATBOX FIELD, 35.746, -95.413, Small, 3800, US/OK
, HATCH, 44.773, -122.85, Small, 2500, US/OR
, HATCH MUNI, 32.661, -107.198, Small, 4110, US/NM
, HATFIELD, 41.666, -85.832, Small, 1000, US/IN
, HATSERIM, 31.233, 34.663, Small, 9657, IS
, HATSERIM NORTHWEST, 31.261, 34.64, Small, 5884, IS
, HATTAN FARMS, 40.931, -89.121, Small, 1800, US/IL
, HAUGEN FARM AIRSTRIP, 47.538, -97.364, Small, 2400, US/ND
, HAUNSTEIN, 40.317, -77.125, Ultralight, 500, US/PA
, HAUSMANN, 41.084, -89.758, Small, 2400, US/IL
, HAVANA RGNL, 40.222, -90.023, Small, 2235, US/IL
, HAVELKA HAVEN, 31.465, -97.405, Small, 2250, US/TX
, HAVEN FIELD, 32.327, -96.84, Small, 3000, US/TX
, HAVEN WOOD, 37.336, -91.395, Small, 1800, US/MO
, HAVRE CITY CO, 48.543, -109.762, Small, 5205, US/MT
, HAWARDEN MUNI, 43.037, -96.493, Small, 2030, US/IA
, HAWK AIR, 39.204, -92.262, Small, 2330, US/MO
, HAWK FIELD, 33.307, -86.404, Small, 3400, US/AL
, HAWK HAVEN, 35.853, -97.568, Small, 2200, US/OK
, HAWK HAVEN, 47.755, -116.859, Small, 800, US/ID
, HAWK HAVEN AIRFIELD, 35.687, -86.606, Small, 2400, US/TN
, HAWK RANCH, 32.638, -95.161, Small, 2600, US/TX
, HAWK RIDGE, 37.289, -79.447, Small, 2100, US/VA
, "HAWKS KNOLL", 34.997, -80.801, Small, 1800, US/NC
, "HAWKS NEST", 40.54, -82.394, Small, 2000, US/OH
, "HAWKS NEST", 44.878, -73.35, Small, 2350, US/VT
, HAWKEN AIR ONE, 30.318, -97.302, Small, 1550, US/TX
, HAWKER, 41.2, -88.017, Small, 1300, US/IL
, HAWKEYE HUNTING CLUB, 31.767, -97.129, Small, 3200, US/TX
, HAWKINS, 39.442, -93.662, Small, 1500, US/MO
, HAWKINS CO, 36.458, -82.885, Small, 3502, US/TN
, HAWKINS FIELD, 40.704, -79.952, Small, 1285, US/PA
, HAWKINS FLD, 32.334, -90.222, Large, 5387, US/MS
, HAWKINS PRIVATE, 32.475, -97.501, Small, 2438, US/TX
, HAWKINSVILLE PULASKI CO, 32.283, -83.439, Small, 3000, US/GA
, HAWKS MEADOW, 34.833, -80.751, Small, 2000, US/NC
, HAWKS NEST, 35.118, -89.368, Small, 4000, US/TN
, HAWKS NEST FARM, 34.808, -82.999, Small, 1800, US/SC
, HAWKS RUN, 46.25, -117.249, Small, 1440, US/WA
, HAWLEY MUNI, 46.884, -96.35, Small, 3404, US/MN
, HAWTHORN PINES, 31.389, -88.093, Small, 2500, US/AL
, HAWTHORNE FEATHER AIRPARK, 43.067, -71.9, Small, 3260, US/NH
, HAWTHORNE FLD, 30.336, -94.258, Small, 4302, US/TX
, HAWTHORNE INDUSTRIAL, 38.544, -118.634, Small, 6000, US/NV
, HAXTUN MUNI, 40.625, -102.603, Small, 3860, US/CO
, HAY ACRES, 45.938, -94.761, Small, 1650, US/MN
, HAY FEVER FARM, 40.546, -104.564, Small, 1500, US/CO
, HAY FIELD, 33.517, -83.44, Small, 3000, US/GA
, HAY SHAKERS, 44.279, -94.213, Small, 2400, US/MN
, HAY SPRINGS MUNI, 42.682, -102.701, Small, 2750, US/NE
, HAYDEN FARM, 38.728, -94.931, Small, 2600, US/KS
, HAYDEN MOUNTAIN, 45.465, -123.08, Small, 1000, US/OR
, "HAYENGAS CANT FIND FARMS", 40.026, -89.123, Small, 1600, US/IL
, HAYES EMERGENCY AIRSTRIP, 44.371, -101.009, Small, 2100, US/SD
, HAYES FIELD, 36.711, -90.314, Small, 3000, US/MO
, HAYES ROAD, 44.657, -91.809, Small, 1000, US/WI
, HAYFORK, 40.547, -123.182, Small, 4115, US/CA
, HAYMEADOW, 45.275, -89.492, Small, 2200, US/WI
, HAYS RGNL, 38.842, -99.273, Large, 6500, US/KS
, HAYSFIELD, 39.238, -76.947, Small, 2400, US/MD
, HAYWARD EXECUTIVE, 37.659, -122.122, Large, 5018, US/CA
, HAZEL GREEN, 34.916, -86.647, Small, 2670, US/AL
, HAZELSWART, 36.862, -78.411, Small, 2400, US/VA
, HAZELTON MUNI, 42.576, -114.136, Small, 2800, US/ID
, HAZELTON MUNI, 46.482, -100.27, Small, 3800, US/ND
, HAZEN MUNI, 34.759, -91.638, Small, 4227, US/AR
, HAZLEHURST, 31.885, -82.647, Large, 4508, US/GA
, HAZLETON MUNI, 40.987, -75.995, Large, 4898, US/PA
, HEAD AIRFIELD, 33.849, -93.479, Small, 1000, US/AR
, HEADLAND MUNI, 31.364, -85.312, Small, 5002, US/AL
, HEADQUARTERS, 34.106, -85.566, Small, 2000, US/AL
, HEADWATERS, 30.099, -98.705, Small, 4400, US/TX
, HEALDSBURG MUNI, 38.653, -122.899, Small, 2707, US/CA
, HEALDTON MUNI, 34.249, -97.474, Small, 3000, US/OK
, HEALY RIVER, 63.868, -148.969, Small, 2912, US/AK
, HEAPE FIELD, 37.734, -96.937, Small, 2000, US/KS
, HEARD, 34.176, -92.701, Small, 1130, US/AR
, HEARN, 32.157, -81.889, Small, 2400, US/GA
, HEARNE MUNI, 30.872, -96.622, Large, 4000, US/TX
, HEART OF GEORGIA RGNL, 32.214, -83.128, Large, 6506, US/GA
, HEATH CANYON, 29.45, -102.832, Small, 2500, US/TX
, HEATHROW, 31.439, -97.147, Small, 2200, US/TX
, HEATON, 41.446, -95.957, Small, 2500, US/NE
, HEATON, 42.968, -71.181, Small, 1740, US/NH
, "HEAVENS LANDING", 39.17, -79.062, Small, 2000, US/WV
, HEAVENS GATE RANCH, 43.475, -123.346, Small, 5100, US/OR
, HEAVENS LDG, 34.914, -83.46, Small, 5069, US/GA
, HEBBELMAN, 48.514, -109.062, Small, 3650, US/MT
, HEBER AIRPARK, 43.183, -73.633, Small, 2200, US/NY
, HEBER CITY MUNI RUSS MCDONALD FLD, 40.482, -111.429, Large, 6898, US/UT
, HEBER SPRINGS MUNI, 35.512, -92.013, Large, 4002, US/AR
, HEBERLIG, 40.164, -77.371, Small, 2250, US/PA
, HEBRON MUNI, 40.152, -97.587, Small, 3600, US/NE
, HECKLER FIELD, 41.803, -72.392, Small, 1360, US/CT
, "HECKLERS STRIP", 42.97, -89.665, Small, 2114, US/WI
, HECTOR MUNI, 44.731, -94.715, Small, 2776, US/MN
, HEDDITCH, 46.346, -114.176, Small, 3000, US/MT
, HEDGE HOP FIELD, 42.489, -78.635, Small, 2200, US/NY
, HEDGEWOOD LANDING, 41.267, -93.509, Small, 2000, US/IA
, HEDLEY, 34.894, -100.61, Small, 2300, US/TX
, HEEG, 41.007, -90.883, Small, 1882, US/IL
, HEFNER EASLEY, 35.963, -95.342, Small, 3405, US/OK
, HEIFER CREEK RANCH, 35.301, -92.573, Small, 2000, US/AR
, HEIGLE FIELD, 32.92, -91.026, Small, 2700, US/MS
, HEILMAN, 40.669, -83.444, Small, 2000, US/OH
, HEINECK FARM, 48.005, -122.134, Small, 2500, US/WA
, HEINER, 42.861, -110.898, Small, 2200, US/WY
, HEINS FIELD, 39.969, -84.539, Small, 2600, US/OH
, HEITMAN AERDROME, 38.419, -90.131, Small, 2600, US/IL
, HEITMAN FIELD, 40.376, -84.255, Small, 2600, US/OH
, HEITMAN FIELD, 42.977, -88.476, Small, 1700, US/WI
, HELBLAD, 47.986, -94.687, Small, 2500, US/MN
, HELDEBERG AIRSTRIP, 42.611, -74.065, Small, 1400, US/NY
, "HELLER HIGH WATER", 40.143, -123.398, Small, 2600, US/CA
, HELLER, 42.412, -90.4, Small, 1900, US/IL
, HELLINGER, 48.538, -111.498, Small, 2600, US/MT
, HELMERICKS, 70.428, -150.403, Small, 2500, US/AK
, HELMUTH BAUNGARTEM, -27.16, -49.542, Small, 3565, BR
, HEMET RYAN, 33.734, -117.023, Small, 4314, US/CA
, HEMINGWAY STUCKEY, 33.729, -79.516, Small, 3386, US/SC
, HEMLOCK FIELD, 41.701, -80.86, Small, 3200, US/OH
, HEMLOCK RUN, 42.367, -76.931, Small, 1900, US/NY
, HEMMER RLA, 37.978, -89.203, Small, 1320, US/IL
, HEMMINGSEN, 41.594, -88.606, Small, 1600, US/IL
, HEMMINGSEN PRIVATE, 47.596, -96.022, Small, 2200, US/MN
, HEMMINGSON, 44.658, -123.143, Small, 1250, US/OR
, HEMP RIDGE, 38.153, -85.119, Small, 1600, US/KY
, HEMPHILL CO, 35.895, -100.404, Large, 5000, US/TX
, HEMPSTEAD, 30.122, -96.087, Small, 3055, US/TX
, HEN & BACON, 38.218, -78.212, Small, 1400, US/VA
, HENDERSHOT, 43.29, -77.827, Small, 2200, US/NY
, HENDERSON, 37.486, -88.4, Small, 2750, US/IL
, HENDERSON, 42.214, -88.757, Small, 2800, US/IL
, HENDERSON AVIATION, 39.013, -75.534, Small, 2048, US/DE
, HENDERSON CITY CO, 37.808, -87.686, Large, 5504, US/KY
, HENDERSON EXECUTIVE, 35.973, -115.134, Large, 6501, US/NV
, HENDERSON FARM, 36.633, -99.151, Small, 2500, US/OK
, HENDERSON FLD, 34.718, -78.004, Small, 3849, US/NC
, HENDERSON MOUNDS E B G, 36.707, -89.467, Small, 2500, US/MO
, HENDERSON OXFORD, 36.362, -78.529, Small, 5003, US/NC
, HENDERSONVILLE, 35.308, -82.433, Small, 3075, US/NC
, HENDRICKS CO GORDON GRAHAM FLD, 39.748, -86.474, Small, 4400, US/IN
, HENDRICKS FIELD, 40.723, -101.796, Small, 2600, US/NE
, HENDRICKS FIELD, 44.368, -75.402, Small, 2520, US/NY
, HENDRICKS FIELD AT WEST CREEK RANCH, 38.706, -108.937, Small, 2500, US/CO
, HENDRICKSON FLYING SERVICE, 41.945, -88.924, Small, 2800, US/IL
, HENDRIX, 41.042, -88.192, Small, 2300, US/IL
, HENDRY CORRECTIONAL INSTITUTION, 26.31, -81.227, Small, 3900, US/FL
, HENINGTON, 33.375, -96.082, Small, 2800, US/TX
, HENLEY, 60.593, -151.328, Small, 2640, US/AK
, HENLEY AERODROME, 35.833, -91.433, Small, 3100, US/AR
, HENLEY RANCH, 32.908, -88.333, Small, 3000, US/AL
, HENNEMAN, 39.521, -85.9, Small, 2350, US/IN
, HENNESSY, 27.051, -81.848, Small, 2029, US/FL
, HENNING MUNI, 46.304, -95.439, Small, 3280, US/MN
, HENRIETTA, 33.783, -98.217, Small, 3180, US/TX
, HENRY CO, 36.338, -88.383, Large, 5001, US/TN
, HENRY CO, 41.374, -84.068, Large, 3956, US/OH
, HENRY FIELD, 34.887, -91.989, Small, 3000, US/AR
, HENRY TIFT MYERS, 31.429, -83.489, Large, 5504, US/GA
, "HENRYS LAKE", 44.635, -111.343, Small, 4600, US/ID
, HENRYETTA MUNI, 35.407, -96.016, Small, 3501, US/OK
, HENSARLING, 31.048, -95.918, Small, 2600, US/TX
, HENSHAW, 37.252, -77.153, Small, 2700, US/VA
, HENSLEY AIRPARK, 36.183, -82.679, Small, 3000, US/TN
, HENSLEY RANCH, 30.709, -96.902, Small, 3500, US/TX
, HENSON FARM, 36.087, -94.105, Small, 2000, US/AR
, HENSON FIELD, 34.447, -87.386, Small, 3500, US/AL
, HEPLER, 38.138, -87.676, Small, 2600, US/IN
, HEPNER, 38.935, -78.54, Small, 2000, US/VA
, HEPP, 38.034, -89.579, Small, 1780, US/IL
, HERBERT C. MAAS, 42.472, -87.908, Small, 2600, US/IL
, HERBERT MATA PIRES, -12.402, -40.475, Small, 4265, BR
, HERBERT RANCH, 30.481, -98.281, Small, 2500, US/TX
, HERD RANCH, 30.87, -100.103, Small, 3000, US/TX
